ARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,countries,products,elements,,,,2010A,2011A,2012A,2013A,2014A,2015A,2016A,2017A,2018A,2019A,2020A,2021A,2022A,2023A,2024A,2025A,2026A,2027A,2028A,2029A,2030A
GBR_BT_fo..pc,United Kingdom of Great Britain and Northern Ireland,Butter,Per-capita food consumption [kg/p/year],GBR,BT,FO..PC,3.063355353,3.035531372,3.240745227,3.126667534,2.869673512,2.960562528,2.682274631,2.953349604,2.59296525,2.834369545,2.885648434,2.87328718,2.863282781,2.857307635,2.850236875,2.844211675,2.838681174,2.833298737,2.828261468,2.823199032,2.81841014
GBR_BV_fo..pc,United Kingdom of Great Britain and Northern Ireland,Beef and Veal,Per-capita food consumption [kg/p/year],GBR,BV,FO..PC,11.86392393,11.61588809,11.2813425,11.02409282,11.34852397,11.63339501,11.6973019,11.70603696,11.73512376,11.40776377,11.33507568,11.35930545,11.34514701,11.24563753,11.18698182,11.14325267,11.08427158,11.03276019,11.05592754,11.03120131,11.04192244
GBR_EG_fo..pc,United Kingdom of Great Britain and Northern Ireland,Eggs,Per-capita food consumption [kg/p/year],GBR,EG,FO..PC,14.44824089,14.1080007,13.9188166,14.13086932,14.43001317,14.96870819,15.27939901,15.9463784,16.01403908,15.81308239,15.51864055,15.73625226,15.8674758,15.97901984,16.11464616,16.24079029,16.39281405,16.52823345,16.45497835,16.52400977,16.49746251
GBR_FH_fo..pc,United Kingdom of Great Britain and Northern Ireland,Fish,Per-capita food consumption [kg/p/year],GBR,FH,FO..PC,19.15343356,19.80313429,19.65274238,20.24076773,18.37631087,17.93363913,19.67870108,18.4656961,17.53570298,18.53602419,18.08849186,17.84933265,17.98206147,18.12714811,18.23471369,18.28251059,18.25951806,18.25397165,18.30487884,18.34176426,18.33762366
GBR_MA_fo..pc,United Kingdom of Great Britain and Northern Ireland,Maize,Per-capita food consumption [kg/p/year],GBR,MA,FO..PC,4.648612119,4.342262639,8.089850028,10.44872343,8.651385365,7.060415244,8.597551683,9.636212304,11.91510287,12.61617029,12.6781533,12.71581482,12.75504478,12.78651024,12.84356749,12.89566942,12.91822514,12.967301,12.91491133,12.92666208,12.9007714
GBR_MK_fo..pc,United Kingdom of Great Britain and Northern Ireland,Milk,Per-capita food consumption [kg/p/year],GBR,MK,FO..PC,18.41710555,18.26215533,17.79961312,18.24702541,18.43158414,18.25385119,17.6554999,18.0608554,18.11614091,18.74009948,18.33413653,18.27057792,18.22055695,18.17828631,18.13670151,18.09728747,18.06066551,18.02345054,17.98828556,17.96066595,17.93520067
GBR_OCG_fo..pc,United Kingdom of Great Britain and Northern Ireland,Other Coarse Grains,Per-capita food consumption [kg/p/year],GBR,OCG,FO..PC,33.1169012,35.2946761,35.80956679,36.55020392,37.06183179,35.5994433,35.45736788,36.25432266,35.87787012,35.91185617,35.9360441,35.9851662,36.05420276,36.02529049,36.06254136,36.09883382,36.14747672,36.20132141,36.25052305,36.30104387,36.33896154
GBR_OOS_fo..pc,United Kingdom of Great Britain and Northern Ireland,Other Oilseeds,Per-capita food consumption [kg/p/year],GBR,OOS,FO..PC,1.328824487,1.421953819,1.249603296,1.314779651,1.171873665,1.231489623,1.130986767,1.12316766,1.116238538,1.109817115,1.104759582,1.098175092,1.093822144,1.089733446,1.085675845,1.081821551,1.077906421,1.074079295,1.070299018,1.066810045,1.06409259
GBR_PK_fo..pc,United Kingdom of Great Britain and Northern Ireland,Pork,Per-capita food consumption [kg/p/year],GBR,PK,FO..PC,17.06471832,16.8370472,16.45650282,16.06868308,16.44761319,16.80305938,17.49741552,17.05214062,17.26544624,16.45738125,16.22118205,16.32043605,16.32477107,16.31757395,16.32351237,16.29128437,16.21981553,16.16952168,16.11954859,16.08023581,16.03808399
GBR_PS_fo..pc,United Kingdom of Great Britain and Northern Ireland,Pulses,Per-capita food consumption [kg/p/year],GBR,PS,FO..PC,2.921093308,2.352319257,3.069416182,3.364673605,3.442357193,3.522096263,3.603803431,3.688024235,3.775229977,3.866117447,3.871959349,3.877555973,3.875669513,3.883465988,3.885183456,3.888718686,3.894359496,3.897834039,3.902647637,3.906677232,3.911580551
GBR_PT_fo..pc,United Kingdom of Great Britain and Northern Ireland,Poultry,Per-capita food consumption [kg/p/year],GBR,PT,FO..PC,25.19376372,25.0870311,25.1997433,25.36632999,25.0049241,27.09198321,28.19302308,27.66315198,29.08005521,30.74525341,31.15587544,31.19796823,31.20651555,31.21248337,31.23758019,31.2556545,31.25225645,31.25220097,31.26351344,31.26185721,31.2512198
GBR_RI_fo..pc,United Kingdom of Great Britain and Northern Ireland,Rice,Per-capita food consumption [kg/p/year],GBR,RI,FO..PC,9.203481429,9.240864403,9.583526152,9.530088284,9.523221847,9.138014553,9.422522967,9.32382672,9.321179428,9.321223483,9.323685746,9.323440344,9.322551879,9.323302543,9.322029823,9.321804125,9.322096163,9.321993622,9.322165516,9.322526083,9.322656384
GBR_RT_fo..pc,United Kingdom of Great Britain and Northern Ireland,Roots tubers,Per-capita food consumption [kg/p/year],GBR,RT,FO..PC,16.39688821,18.59284907,18.05475078,17.62794474,18.57933826,14.94149184,16.51378034,17.08359127,16.97819802,16.91716145,16.8592228,16.82489765,16.7894357,16.76335847,16.73789209,16.71324991,16.68890323,16.66598347,16.64320949,16.62286463,16.60230943
GBR_SH_fo..pc,United Kingdom of Great Britain and Northern Ireland,Sheep,Per-capita food consumption [kg/p/year],GBR,SH,FO..PC,4.440287305,4.203084649,3.951315415,4.164728968,4.157872782,4.55775197,4.399949496,4.121533848,4.00960166,4.024868236,4.021958397,3.999906499,3.987580218,3.976177298,3.962095977,3.949107891,3.934463363,3.922921679,3.912556439,3.901213762,3.891037901
GBR_SU_fo..pc,United Kingdom of Great Britain and Northern Ireland,Sugar,Per-capita food consumption [kg/p/year],GBR,SU,FO..PC,28.4086786,33.33275567,29.96829648,32.42289795,33.91767549,27.14246635,30.91754977,28.6275354,23.55241255,23.4582029,23.36209438,23.26849607,23.1818749,23.08594797,22.98796735,22.89251747,22.80758289,22.71797553,22.62395261,22.53140694,22.43781396
GBR_VL_fo..pc,United Kingdom of Great Britain and Northern Ireland,Vegetable oils,Per-capita food consumption [kg/p/year],GBR,VL,FO..PC,26.92583577,28.85125891,24.72937882,26.57962208,27.94949327,28.90391168,24.64618226,33.20515091,29.14454205,26.34646168,26.33028999,26.20675348,26.16327348,26.15164885,26.11831495,26.07877527,26.0745573,26.06461718,26.06619314,26.06314828,26.05773747
GBR_WT_fo..pc,United Kingdom of Great Britain and Northern Ireland,Wheat,Per-capita food consumption [kg/p/year],GBR,WT,FO..PC,101.7676311,95.6437634,97.72673664,100.1158651,102.7890507,100.0810836,103.7161424,106.9791459,98.61853616,102.6232376,103.2521585,103.9440845,104.6634775,105.4243139,106.1837827,106.9328251,107.6918413,108.4422587,109.1988446,109.957213,110.7223886
GEO_BT_fo..pc,Georgia,Butter,Per-capita food consumption [kg/p/year],GEO,BT,FO..PC,0.419220714,0.420496862,0.512693268,0.590472861,0.596140723,0.871815549,1.276301417,1.107600306,1.251301753,1.178217091,1.212691786,1.244765655,1.278656619,1.314722931,1.35143682,1.390192771,1.429977691,1.471289545,1.514130087,1.558340101,1.604020803
GEO_BV_fo..pc,Georgia,Beef and Veal,Per-capita food consumption [kg/p/year],GEO,BV,FO..PC,6.738701211,6.384695856,5.557950453,5.666389143,6.088525474,5.796953386,5.119191485,5.293220073,5.495003733,5.593969842,5.692128749,5.739985273,5.801889584,5.866802354,5.931157756,5.996555849,6.063722216,6.134361287,6.209094864,6.287002491,6.367162264
GEO_EG_fo..pc,Georgia,Eggs,Per-capita food consumption [kg/p/year],GEO,EG,FO..PC,5.429619001,5.80482082,5.839779154,6.129399816,7.482070745,7.499787283,6.374158503,6.113218029,6.188025807,6.517860126,6.601867914,6.716955622,6.851816206,6.99429161,7.14709109,7.303763324,7.466363704,7.633628584,7.806884578,7.984392826,8.165752971
GEO_FH_fo..pc,Georgia,Fish,Per-capita food consumption [kg/p/year],GEO,FH,FO..PC,7.688837265,8.981015731,8.477447024,9.636775078,10.02643695,9.4634998,12.22841696,12.67638004,13.27566188,14.89846679,16.33165285,16.81961118,17.22316938,17.64400849,18.12301128,18.62147439,19.0845903,19.54993316,20.02117731,20.48273357,20.8797873
GEO_MA_fo..pc,Georgia,Maize,Per-capita food consumption [kg/p/year],GEO,MA,FO..PC,34.26550365,29.72725821,29.21329162,29.16525641,30.05751545,30.36803073,30.57009381,30.67436804,30.71307228,30.73609803,30.75719788,30.82905542,30.91977307,30.99867376,31.063876,31.10435875,31.1194159,31.11505702,31.09045824,31.04574328,30.98326591
GEO_MK_fo..pc,Georgia,Milk,Per-capita food consumption [kg/p/year],GEO,MK,FO..PC,14.78355479,14.87228135,15.38695626,16.03102576,16.16529993,16.0832669,16.02564611,16.08668004,15.97270031,15.90516084,16.26609311,16.55299193,16.86941156,17.2153268,17.57373372,17.94516788,18.32601356,18.71767499,19.11929875,19.5278273,19.94300713
GEO_OCG_fo..pc,Georgia,Other Coarse Grains,Per-capita food consumption [kg/p/year],GEO,OCG,FO..PC,0.000127609,0.000129457,0.00013146,0.000133468,0.000135259,0.000136656,0.000137565,0.000138035,0.000138209,0.000138312,0.000137558,0.000136919,0.000136414,0.00013557,0.00013464,0.000133603,0.00013246,0.00013129,0.000130098,0.000128892,0.000127677
GEO_OOS_fo..pc,Georgia,Other Oilseeds,Per-capita food consumption [kg/p/year],GEO,OOS,FO..PC,0.620087459,0.629067142,1.047783393,0.64855621,0.897717795,0.906991851,0.913026802,0.916141126,0.917297092,0.917984795,0.93180125,0.942293471,0.954619357,0.968297101,0.981518528,0.99511167,1.009005646,1.023359254,1.037954976,1.052876711,1.068149733
GEO_PK_fo..pc,Georgia,Pork,Per-capita food consumption [kg/p/year],GEO,PK,FO..PC,4.766166138,4.937218117,5.813250277,6.906134987,7.57309121,7.32294693,7.049871235,7.431376898,7.500951267,7.70451524,7.640958843,7.74064448,7.824312889,7.916524247,8.014840496,8.110715077,8.209107248,8.310751119,8.411823923,8.518421261,8.623072526
GEO_PS_fo..pc,Georgia,Pulses,Per-capita food consumption [kg/p/year],GEO,PS,FO..PC,0.017250909,0.017260989,0.018745195,0.042512069,0.044379862,0.046188594,0.047896051,0.049506585,0.051061622,0.052638519,0.05305392,0.053729843,0.054330531,0.055049341,0.055735534,0.056443925,0.057168227,0.057886226,0.058610424,0.059326966,0.060045061
GEO_PT_fo..pc,Georgia,Poultry,Per-capita food consumption [kg/p/year],GEO,PT,FO..PC,10.96590642,12.17762748,12.23255463,11.86642833,13.49544872,13.65627566,14.98958695,15.58273234,14.68169316,16.13645147,16.49459966,16.8770828,17.2675182,17.67815602,18.1020796,18.53170855,18.9631226,19.4050202,19.85963694,20.32415829,20.80161071
GEO_RI_fo..pc,Georgia,Rice,Per-capita food consumption [kg/p/year],GEO,RI,FO..PC,2.408037808,2.584353577,2.003544917,2.834961788,2.3820581,2.902677604,2.583682429,2.623936566,2.828418015,3.019821632,3.030538324,3.046680086,3.063805322,3.078413161,3.09221632,3.10623102,3.119116769,3.131554326,3.143275332,3.154449113,3.163769626
GEO_RT_fo..pc,Georgia,Roots tubers,Per-capita food consumption [kg/p/year],GEO,RT,FO..PC,9.293986159,10.22473841,11.2461435,12.05044132,12.67885664,13.29547859,13.88735708,14.45482896,15.00921289,15.57282036,15.50031728,15.59838767,15.69998512,15.78861252,15.88222486,15.96695511,16.04446753,16.12186684,16.18993138,16.25513679,16.31240365
GEO_SH_fo..pc,Georgia,Sheep,Per-capita food consumption [kg/p/year],GEO,SH,FO..PC,1.042143939,0.868875016,0.501738284,0.606835064,0.9127716,1.09712103,0.887296973,0.522231116,0.320414127,0.693636892,0.697715656,0.701683526,0.707574919,0.713761708,0.720508956,0.727617258,0.73499538,0.742884292,0.751189571,0.759816872,0.768813202
GEO_SU_fo..pc,Georgia,Sugar,Per-capita food consumption [kg/p/year],GEO,SU,FO..PC,31.19342401,31.8848946,32.62150898,33.11987392,33.81471097,34.16403996,34.6461142,34.76429312,35.06410268,35.34652461,35.64127656,36.02367676,36.44561609,36.84568675,37.25220707,37.68420006,38.16237736,38.6312614,39.08345065,39.55529212,40.03573759
GEO_VL_fo..pc,Georgia,Vegetable oils,Per-capita food consumption [kg/p/year],GEO,VL,FO..PC,10.25682226,5.923364733,5.349902419,4.375692786,4.798840695,4.859929457,6.204772057,6.874970854,6.82786448,6.752967429,11.03694538,11.07683312,11.14366739,11.22531598,11.30464117,11.37855615,11.45866675,11.54079118,11.62232903,11.70322919,11.78268875
GEO_WT_fo..pc,Georgia,Wheat,Per-capita food consumption [kg/p/year],GEO,WT,FO..PC,150.7682161,156.5475775,163.350989,168.0709691,162.811542,162.7220313,161.7667464,161.0404322,161.2436295,161.3645147,161.4653119,161.7926196,162.135056,162.4448438,162.8306409,163.2207999,163.6250886,164.0555392,164.5153912,164.9916763,165.5050214
GHA_BT_fo..pc,Ghana,Butter,Per-capita food consumption [kg/p/year],GHA,BT,FO..PC,0.075187346,0.0937831,0.071231357,0.063880054,0.027074578,0.028604762,0.058354871,0.053375175,0.057426708,0.059806683,0.05976272,0.059274322,0.058837891,0.058519683,0.058201524,0.057922794,0.057634566,0.057349659,0.057067938,0.056780303,0.056492347
GHA_BV_fo..pc,Ghana,Beef and Veal,Per-capita food consumption [kg/p/year],GHA,BV,FO..PC,0.915176455,0.907538585,0.890850523,0.922032479,0.750247681,0.879580105,0.884544267,0.836374085,0.850967423,0.774054646,0.771536677,0.765513514,0.760300984,0.7550671,0.750608894,0.74634743,0.741208171,0.736301048,0.731368104,0.726599033,0.721909955
GHA_EG_fo..pc,Ghana,Eggs,Per-capita food consumption [kg/p/year],GHA,EG,FO..PC,1.133030992,1.186718456,1.169316947,1.198856137,1.152105233,1.26494882,1.241962343,1.224197889,1.236581327,1.246305034,1.244005952,1.234146065,1.226747855,1.220915882,1.216733556,1.212241213,1.20798242,1.203376402,1.199355032,1.19512179,1.191270427
GHA_FH_fo..pc,Ghana,Fish,Per-capita food consumption [kg/p/year],GHA,FH,FO..PC,23.0760654,26.24269484,24.11973026,25.16131102,22.73380255,24.9452076,26.33729864,27.82414365,27.45724857,28.59378555,29.32357106,28.9592311,28.83290019,28.82223698,28.89865659,28.95507291,28.92678199,29.0787466,29.15595306,29.118916,29.28166062
GHA_MA_fo..pc,Ghana,Maize,Per-capita food consumption [kg/p/year],GHA,MA,FO..PC,43.63966558,43.38861609,43.52379726,43.6494725,43.40833702,43.50534088,43.96114208,45.99143605,45.34402006,45.02114227,45.06614584,45.03133184,45.03235901,45.04902886,45.0775373,45.10538589,45.1274068,45.15124138,45.17696801,45.20069128,45.22712334
GHA_MK_fo..pc,Ghana,Milk,Per-capita food consumption [kg/p/year],GHA,MK,FO..PC,0.701848102,0.811068045,0.683249801,0.836379309,0.581955814,0.663698628,0.834705804,0.729856796,0.62749743,0.643985077,0.649531303,0.648006296,0.647995262,0.648683667,0.649670948,0.65117285,0.652767915,0.654571394,0.656438105,0.658335599,0.660271793
GHA_OCG_fo..pc,Ghana,Other Coarse Grains,Per-capita food consumption [kg/p/year],GHA,OCG,FO..PC,15.34345144,14.92729051,14.76701663,14.42331762,14.09362927,13.77670433,13.47197566,13.45652194,15.48010769,12.69231923,12.67230484,12.63991188,12.61026804,12.57364736,12.54541752,12.51727496,12.48868861,12.46160423,12.43391155,12.40654979,12.37769836
GHA_OOS_fo..pc,Ghana,Other Oilseeds,Per-capita food consumption [kg/p/year],GHA,OOS,FO..PC,4.108799881,4.454909358,5.219565272,4.860020629,4.948317802,5.19436832,5.161888941,5.049659218,4.941683623,4.837696173,4.914421346,4.937290591,4.987030101,5.031986253,5.075889515,5.122731899,5.170339437,5.219737886,5.268726662,5.318639348,5.369142544
GHA_PK_fo..pc,Ghana,Pork,Per-capita food consumption [kg/p/year],GHA,PK,FO..PC,0.720297219,0.804751352,0.828444392,0.92382021,0.774733485,0.845511798,0.950496616,0.85206063,0.825098252,0.74426095,0.761347031,0.767331131,0.772128858,0.777244052,0.782117739,0.787388538,0.792819529,0.798392305,0.803369396,0.809496889,0.814976976
GHA_PS_fo..pc,Ghana,Pulses,Per-capita food consumption [kg/p/year],GHA,PS,FO..PC,9.408984417,11.2417914,10.29897397,8.70529897,8.761502541,8.821416147,8.885082943,8.952660685,9.024065029,9.099197522,9.149426705,9.171954032,9.176154681,9.195066357,9.202046726,9.211539987,9.220952261,9.226960282,9.232650215,9.235511344,9.237916686
GHA_PT_fo..pc,Ghana,Poultry,Per-capita food consumption [kg/p/year],GHA,PT,FO..PC,5.486848565,6.582857143,7.29868432,7.82482838,6.528919497,5.888197732,4.923484832,5.792642353,7.209770463,5.829955504,6.088616766,6.149180563,6.217350309,6.284248635,6.350387409,6.414544569,6.477304881,6.540680982,6.605566444,6.669521257,6.731294818
GHA_RI_fo..pc,Ghana,Rice,Per-capita food consumption [kg/p/year],GHA,RI,FO..PC,31.64803867,32.65689967,33.79311973,34.2219076,34.80310894,35.81165337,36.90475481,37.98323144,39.98270061,42.18140797,42.6626107,42.90232745,43.19317046,43.46874626,43.7425815,44.04098238,44.35461764,44.69045377,45.03122727,45.39259045,45.74278885
GHA_RT_fo..pc,Ghana,Roots tubers,Per-capita food consumption [kg/p/year],GHA,RT,FO..PC,107.2515461,106.1079354,107.5770313,108.7518257,109.2342791,109.8176123,110.4454421,111.1195195,111.8385839,112.6012063,113.7824798,113.5412767,114.0746312,114.128528,114.5547182,114.7673283,115.1005935,115.3656763,115.661752,115.9246044,116.1988028
GHA_SH_fo..pc,Ghana,Sheep,Per-capita food consumption [kg/p/year],GHA,SH,FO..PC,1.531227215,1.584416919,1.565387773,1.539680106,1.551084026,1.593241717,1.583781684,1.49431763,1.463128664,1.405875708,1.404347974,1.390255995,1.382597347,1.375272238,1.367919514,1.360711897,1.353111053,1.346268654,1.339580359,1.332619781,1.325842615
GHA_SU_fo..pc,Ghana,Sugar,Per-capita food consumption [kg/p/year],GHA,SU,FO..PC,9.342323471,9.434038543,10.05957706,9.876209406,11.90844392,15.91216835,18.26734133,18.92843235,19.82103477,20.20136502,20.48444277,20.7453083,21.04235362,21.32140548,21.60897099,21.91471863,22.25297455,22.58009504,22.88932493,23.2081239,23.52780095
GHA_VL_fo..pc,Ghana,Vegetable oils,Per-capita food consumption [kg/p/year],GHA,VL,FO..PC,8.52863212,15.7858437,15.96304532,13.82681938,15.7967415,14.83672199,14.3659864,14.32673857,14.56043485,14.16148427,15.04043914,15.11124531,15.22416973,15.38143215,15.53968433,15.69280743,15.85950329,16.03243273,16.20913583,16.38960253,16.57450433
GHA_WT_fo..pc,Ghana,Wheat,Per-capita food consumption [kg/p/year],GHA,WT,FO..PC,11.83088999,12.22046343,12.12448638,12.5255008,12.98096203,13.48665567,13.11743756,13.87269016,13.57605391,13.62263346,13.89308106,13.91333477,13.92402296,13.92308972,13.92449742,13.92708381,13.93007651,13.9347479,13.93871089,13.94130276,13.94361787
GIN_BT_fo..pc,Guinea,Butter,Per-capita food consumption [kg/p/year],GIN,BT,FO..PC,0.0363159,0.040234994,0.039356578,0.04030645,0.041167222,0.040193414,0.039206436,0.038216032,0.037233937,0.036273584,0.036045335,0.035668867,0.035000396,0.034486746,0.033939437,0.03341533,0.032887091,0.03236066,0.031836894,0.031311173,0.030787065
GIN_BV_fo..pc,Guinea,Beef and Veal,Per-capita food consumption [kg/p/year],GIN,BV,FO..PC,4.065629902,4.196636783,4.364688773,4.465902603,4.705006874,4.706599159,4.592154711,4.587339281,4.549895177,4.510911289,4.486348427,4.480568078,4.459247438,4.433666102,4.407635118,4.385142368,4.358107975,4.332481382,4.306798454,4.282198603,4.25835937
GIN_EG_fo..pc,Guinea,Eggs,Per-capita food consumption [kg/p/year],GIN,EG,FO..PC,1.936693618,1.977756587,1.93552418,1.913962555,1.675142167,1.493783574,1.283620113,1.260486514,1.256252735,1.254476115,1.246943761,1.241599812,1.23553127,1.22708282,1.21776024,1.207779324,1.197693299,1.18715104,1.176615224,1.165575742,1.15451476
GIN_FH_fo..pc,Guinea,Fish,Per-capita food consumption [kg/p/year],GIN,FH,FO..PC,9.962554266,14.59110131,15.20606065,17.43589781,14.89315152,13.13555456,11.20609151,24.04704508,22.16873969,20.92603523,20.61438155,20.42470191,20.24609225,20.04082173,19.78041241,19.54385229,19.2915943,19.10516001,18.88589228,18.62011914,18.43652592
GIN_MA_fo..pc,Guinea,Maize,Per-capita food consumption [kg/p/year],GIN,MA,FO..PC,34.24441181,34.43535557,34.60941201,34.67221467,34.72954934,35.14856163,35.49553919,36.17155317,35.62506327,34.70620717,34.7922984,34.85178607,34.89654908,34.90346598,34.89831075,34.88740596,34.86574721,34.83938636,34.80801284,34.76859988,34.72487018
GIN_MK_fo..pc,Guinea,Milk,Per-capita food consumption [kg/p/year],GIN,MK,FO..PC,2.121447889,2.159162504,2.397566191,2.424865949,2.044827738,2.138224168,2.452987575,2.026570062,2.03558176,2.027861629,2.040082892,2.042128276,2.042096862,2.043735872,2.041795619,2.039961846,2.037460184,2.034968595,2.032250428,2.029143857,2.025775437
GIN_OCG_fo..pc,Guinea,Other Coarse Grains,Per-capita food consumption [kg/p/year],GIN,OCG,FO..PC,32.28180328,31.95685001,31.91076251,32.07182198,35.01198274,32.33669903,33.29967784,33.02622196,32.17749719,31.34756212,31.22004512,31.10001596,30.89160259,30.70770716,30.52301332,30.33285201,30.14434831,29.95748757,29.76745504,29.57502821,29.37804893
GIN_OOS_fo..pc,Guinea,Other Oilseeds,Per-capita food consumption [kg/p/year],GIN,OOS,FO..PC,3.36259298,3.289156421,3.217347032,3.146191432,3.074530768,3.265094619,2.928091565,2.854124267,2.780777519,2.709054577,2.702365006,2.688971118,2.676758057,2.661335598,2.64432782,2.626920363,2.608878759,2.59054057,2.571384644,2.55173639,2.531487987
GIN_PK_fo..pc,Guinea,Pork,Per-capita food consumption [kg/p/year],GIN,PK,FO..PC,0.108799473,0.111570552,0.11438227,0.117400119,0.099750042,0.088789402,0.082156039,0.080080673,0.078022719,0.076010326,0.077659269,0.078770879,0.079518324,0.079973695,0.080244042,0.08051277,0.080748939,0.080950853,0.081044212,0.081212859,0.081259125
GIN_PS_fo..pc,Guinea,Pulses,Per-capita food consumption [kg/p/year],GIN,PS,FO..PC,4.619519081,4.529517928,4.51554679,4.267358438,4.079994292,3.897344224,3.719428766,3.54706054,3.381156042,3.222694072,3.234707636,3.240822625,3.235976783,3.231098288,3.218338881,3.205132711,3.190959505,3.174729804,3.157651677,3.138705232,3.118952639
GIN_PT_fo..pc,Guinea,Poultry,Per-capita food consumption [kg/p/year],GIN,PT,FO..PC,1.314709709,1.695007882,1.646514334,2.064990425,2.001641812,2.372230181,3.116403467,3.509647171,3.794620852,3.627358427,3.697295642,3.76133518,3.809725587,3.842648401,3.869855185,3.891287687,3.906424655,3.917021214,3.923671052,3.925838265,3.924087063
GIN_RI_fo..pc,Guinea,Rice,Per-capita food consumption [kg/p/year],GIN,RI,FO..PC,108.9790052,110.1929294,110.8399471,114.9555284,115.5775515,118.4792429,124.628428,125.4995077,125.6898123,126.9872505,130.8680353,132.8530967,134.1619793,135.061799,137.1618231,139.1778999,141.2030819,143.2878628,145.3889865,147.5240172,149.6440572
GIN_RT_fo..pc,Guinea,Roots tubers,Per-capita food consumption [kg/p/year],GIN,RT,FO..PC,34.49065585,34.52860288,36.912215,37.88312179,38.13086736,38.34575073,38.52626815,38.67963721,38.8161969,38.94948478,38.74504605,38.76937506,38.9839452,38.95140199,38.98547594,39.02398504,39.05655818,39.13045371,39.21157154,39.31721897,39.46064867
GIN_SH_fo..pc,Guinea,Sheep,Per-capita food consumption [kg/p/year],GIN,SH,FO..PC,1.286277694,1.344555644,1.402875845,1.463592194,1.474625136,1.528391784,1.599913026,1.608753418,1.655669069,1.612965381,1.616930055,1.615631167,1.612199851,1.608098889,1.603382196,1.598464995,1.592613336,1.587644283,1.581961504,1.575750647,1.569330941
GIN_SU_fo..pc,Guinea,Sugar,Per-capita food consumption [kg/p/year],GIN,SU,FO..PC,13.15524964,13.23042609,13.38478201,13.52216372,13.7224073,13.64591216,13.63351391,13.76091697,13.79034707,13.80784587,14.05153312,14.33814604,14.58598077,14.7781538,14.95885298,15.14949486,15.36231686,15.5629953,15.74535762,15.92971395,16.10902533
GIN_VL_fo..pc,Guinea,Vegetable oils,Per-capita food consumption [kg/p/year],GIN,VL,FO..PC,13.18801819,12.85345193,12.63374503,12.0492251,11.97301897,11.96779273,11.32941088,11.08073052,10.78494013,10.502066,11.76581377,11.85084659,11.8981501,11.93025844,11.93808954,11.92803717,11.91433497,11.8929588,11.862206,11.82285514,11.77337131
GIN_WT_fo..pc,Guinea,Wheat,Per-capita food consumption [kg/p/year],GIN,WT,FO..PC,11.11711237,10.87432281,10.19370816,11.0951087,11.85887051,12.81888718,13.3108272,13.36774791,13.02421668,12.6882908,12.75384311,12.83707005,12.89731912,12.93536269,12.97753604,13.01736951,13.05429607,13.08964181,13.12236715,13.15171061,13.17855267
GMB_BT_fo..pc,Gambia,Butter,Per-capita food consumption [kg/p/year],GMB,BT,FO..PC,0.60278378,0.09562731,0.153152528,0.109717297,0.072998332,0.051577932,0.070640143,0.082358672,0.080877548,0.083031318,0.08253923,0.081511791,0.079944147,0.078738296,0.077391117,0.076102206,0.074808676,0.073523249,0.072247834,0.07097203,0.069703932
GMB_BV_fo..pc,Gambia,Beef and Veal,Per-capita food consumption [kg/p/year],GMB,BV,FO..PC,2.180481681,2.49839232,2.592772421,3.124791634,3.644076714,2.46572853,2.235122795,1.780185071,1.806480923,1.785756802,1.776686931,1.770805121,1.761496773,1.75066617,1.738195731,1.727196535,1.714474592,1.702356793,1.690266771,1.678654285,1.667392594
GMB_EG_fo..pc,Gambia,Eggs,Per-capita food consumption [kg/p/year],GMB,EG,FO..PC,0.487545705,0.529672228,0.527155441,0.521157159,0.506295571,0.494035678,0.483688755,0.43595349,0.385595043,0.338728287,0.336818407,0.334695882,0.332893308,0.33048007,0.32755624,0.324471602,0.321373254,0.318163901,0.314967839,0.311649189,0.308337318
GMB_FH_fo..pc,Gambia,Fish,Per-capita food consumption [kg/p/year],GMB,FH,FO..PC,28.78131563,25.04644473,20.456122,23.95528297,26.87437227,28.12437412,28.31837122,29.01105677,23.61368197,20.41001594,20.1134506,19.88803065,19.70424762,19.49639189,19.21882141,18.96560045,18.69818931,18.49536589,18.2615055,17.98354385,17.78578393
GMB_MA_fo..pc,Gambia,Maize,Per-capita food consumption [kg/p/year],GMB,MA,FO..PC,11.81928981,12.59760974,12.20781022,12.37008736,12.51399971,13.6529819,13.00220128,10.90181263,10.99934659,10.99603942,11.0246776,11.035983,11.04824792,11.04883785,11.04239389,11.0341967,11.02264529,11.00961856,10.99502059,10.97790444,10.95945058
GMB_MK_fo..pc,Gambia,Milk,Per-capita food consumption [kg/p/year],GMB,MK,FO..PC,12.16208467,11.11776852,9.257726295,6.00574792,8.765524838,6.081392102,8.254339926,8.831601254,8.77435144,8.643121004,8.698411932,8.689503373,8.685020883,8.688391314,8.669210744,8.650761801,8.629714869,8.608863922,8.587211858,8.564096344,8.540063668
GMB_OCG_fo..pc,Gambia,Other Coarse Grains,Per-capita food consumption [kg/p/year],GMB,OCG,FO..PC,62.11052752,61.04129997,60.81724076,59.1614326,63.14369763,60.78118926,58.99446279,46.5589615,23.66258468,40.16932642,40.01086581,39.82981046,39.55605872,39.31489132,39.06140674,38.80135868,38.54378841,38.28854013,38.02946075,37.76757115,37.50012765
