ARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OUTPUT,0",countries,products,elements,,,,2010A,2011A,2012A,2013A,2014A,2015A,2016A,2017A,2018A,2019A,2020A,2021A,2022A,2023A,2024A,2025A,2026A,2027A,2028A,2029A,2030A
AFG_WT_fo..pc,Afghanistan,Wheat,Per-capita food consumption [kg/p/year],AFG,WT,FO..PC,158.5415884,159.300676,160.2764728,161.8256199,162.4029803,162.2278917,163.1462056,162.6790502,162.2074475,162.5950369,162.7971435,163.2221714,163.6344509,164.0181156,164.5523358,165.1191487,165.7217148,166.3708493,167.0531505,167.7617662,168.5090388
AGO_BT_fo..pc,Angola,Butter,Per-capita food consumption [kg/p/year],AGO,BT,FO..PC,0.04814043,0.054421062,0.078777022,0.071966134,0.310210074,0.284931734,0.26852031,0.253053689,0.235164482,0.227667633,0.222772341,0.217999448,0.212259079,0.208161321,0.203682018,0.199351809,0.195024832,0.190738803,0.186487766,0.182246496,0.178040431
AGO_BV_fo..pc,Angola,Beef and Veal,Per-capita food consumption [kg/p/year],AGO,BV,FO..PC,5.649332908,6.084031128,6.4596202,6.587259072,8.821069181,6.02610517,4.977201128,5.432039003,4.908656442,4.690513206,4.601277989,4.544632937,4.487466753,4.439777184,4.391357064,4.344543903,4.292650225,4.242326381,4.191537828,4.143148412,4.09350683
AGO_EG_fo..pc,Angola,Eggs,Per-capita food consumption [kg/p/year],AGO,EG,FO..PC,0.190139951,0.182581163,0.179984465,0.170764644,0.162543989,0.149971346,0.138325839,0.127111386,0.119732862,0.114851923,0.112454516,0.110763434,0.10935104,0.108075704,0.106622678,0.105126608,0.103622678,0.102085424,0.100546099,0.09899271,0.097385428
AGO_FH_fo..pc,Angola,Fish,Per-capita food consumption [kg/p/year],AGO,FH,FO..PC,15.73074184,19.61202718,23.70197677,23.15642042,26.38012876,22.7414832,19.54378526,21.06059017,17.81389829,17.5659295,17.17083729,16.92130227,16.70959211,16.52578636,16.27448974,16.04549232,15.80326213,15.61099102,15.38410452,15.11849327,14.92509028
AGO_MA_fo..pc,Angola,Maize,Per-capita food consumption [kg/p/year],AGO,MA,FO..PC,35.69760489,35.18966211,37.48981359,38.80513164,40.59755012,42.60336047,41.61249221,41.46494703,42.24317076,42.12338821,42.00941526,41.92828387,41.87120156,41.80813393,41.71782976,41.61925588,41.50648263,41.385975,41.25662441,41.11601668,40.96556171
AGO_MK_fo..pc,Angola,Milk,Per-capita food consumption [kg/p/year],AGO,MK,FO..PC,1.644930215,1.878947296,1.787290213,3.184397007,1.332236529,1.985962199,1.473088566,1.441996009,1.324398774,1.402854151,1.389386828,1.375397576,1.364599819,1.35912506,1.349894468,1.340634627,1.330854753,1.321046777,1.310986464,1.300659958,1.289953494
AGO_OCG_fo..pc,Angola,Other Coarse Grains,Per-capita food consumption [kg/p/year],AGO,OCG,FO..PC,4.300988368,4.10409792,2.226268138,2.462594165,2.737335892,2.707869448,3.637201137,3.851048058,2.973281024,2.17067136,2.150629411,2.134456006,2.114557946,2.098513798,2.081770458,2.064725727,2.047772115,2.030844906,2.013597477,1.9961234,1.97822228
AGO_OOS_fo..pc,Angola,Other Oilseeds,Per-capita food consumption [kg/p/year],AGO,OOS,FO..PC,0.559969478,0.540329301,0.521434555,0.503339832,0.486098555,0.469717394,0.454162696,0.439360564,0.425226256,0.411670394,0.408325241,0.40485916,0.401924042,0.398985899,0.39563389,0.392234523,0.388720362,0.385165035,0.381473474,0.377701815,0.373834445
AGO_PK_fo..pc,Angola,Pork,Per-capita food consumption [kg/p/year],AGO,PK,FO..PC,5.427296409,6.464033007,6.992275599,7.212860557,7.905836166,6.385026547,5.327815007,5.670202243,5.718971442,5.536655362,5.582595678,5.598501317,5.60891974,5.615499428,5.602447873,5.589256852,5.573067909,5.554260902,5.526262521,5.505191354,5.472964542
AGO_PS_fo..pc,Angola,Pulses,Per-capita food consumption [kg/p/year],AGO,PS,FO..PC,7.286877763,7.539918411,7.353398714,7.40224188,10.51039162,10.46088504,10.41790685,10.38071606,10.34816956,10.31882671,10.30532357,10.28747707,10.24541304,10.21385333,10.15458833,10.09355545,10.02930987,9.958242463,9.884038177,9.804052636,9.720081571
AGO_PT_fo..pc,Angola,Poultry,Per-capita food consumption [kg/p/year],AGO,PT,FO..PC,10.57321736,12.08572459,12.54387207,12.8813802,14.08749718,8.840249344,8.010036866,9.66735263,10.80375916,9.683031285,9.732712068,9.798439205,9.850592353,9.890499846,9.903661232,9.902132518,9.883554532,9.853147096,9.810164235,9.758578141,9.689119767
AGO_RI_fo..pc,Angola,Rice,Per-capita food consumption [kg/p/year],AGO,RI,FO..PC,9.787116234,12.11186157,12.60939607,18.54076079,18.62947265,17.14023754,16.79146661,15.85139454,16.12896251,16.23637977,16.6466613,16.83679882,16.95778139,17.04335098,17.27386868,17.49214917,17.7097613,17.932821,18.15566701,18.38081189,18.60074234
AGO_RT_fo..pc,Angola,Roots tubers,Per-capita food consumption [kg/p/year],AGO,RT,FO..PC,63.05497662,62.9622676,59.61073618,62.96013553,62.62762015,62.33262927,62.07653789,61.85493084,61.66099907,61.4861586,60.8410951,60.65468874,60.8256818,60.67170814,60.6021685,60.53758058,60.46195628,60.44718818,60.44247559,60.47802941,60.57410145
AGO_SH_fo..pc,Angola,Sheep,Per-capita food consumption [kg/p/year],AGO,SH,FO..PC,0.837759013,0.815622249,0.796962868,0.803301293,0.816973204,0.808372652,0.827706829,0.799853792,0.780848764,0.778606317,0.769154251,0.759994764,0.75273156,0.747250403,0.740755688,0.734141824,0.727129382,0.720222746,0.71353949,0.706339813,0.698857898
AGO_SU_fo..pc,Angola,Sugar,Per-capita food consumption [kg/p/year],AGO,SU,FO..PC,11.46812013,11.60266954,11.75479349,11.92384082,12.07260208,11.98881321,11.90415749,11.9526487,11.86058256,11.85998309,11.88365807,11.99357906,12.10624919,12.2077391,12.28606298,12.37007516,12.46912621,12.55551769,12.62412889,12.69257031,12.75150702
AGO_VL_fo..pc,Angola,Vegetable oils,Per-capita food consumption [kg/p/year],AGO,VL,FO..PC,4.04890976,5.292578844,7.865209966,6.060065677,6.822039309,5.606191936,5.600862363,5.790275966,5.56526015,5.336926924,5.877320781,5.852840037,5.829761107,5.817965105,5.788428667,5.749227909,5.70750397,5.66204303,5.611944155,5.557995174,5.498531406
AGO_WT_fo..pc,Angola,Wheat,Per-capita food consumption [kg/p/year],AGO,WT,FO..PC,21.93064017,21.0747421,20.86375766,20.73920886,20.91345608,17.37433886,20.04948181,21.45433292,21.13783275,21.39201194,21.39201606,21.45349272,21.4984076,21.52817701,21.55613433,21.5787639,21.59539496,21.60787051,21.61448705,21.61425001,21.60722873
ALB_BT_fo..pc,Albania,Butter,Per-capita food consumption [kg/p/year],ALB,BT,FO..PC,1.081711635,1.117998398,1.218819312,1.294288605,1.567392269,1.568747082,1.566115908,1.560309967,1.557067051,1.554913047,1.591073086,1.596306086,1.602789739,1.610449314,1.618246778,1.627058622,1.636029641,1.645319074,1.654837415,1.664396317,1.674010458
