"iso3","country","nutrient","sev_high","sev_base"
"AGO","Angola","Calcium",97.2336837176145,97.2336837176145
"AGO","Angola","Iron",15.3247470605731,15.3247470605731
"AGO","Angola","Omega-3 fatty acids",11.3910048099661,11.3910048099661
"AGO","Angola","Vitamin A, RAE",29.5910014941394,29.5910014941394
"AGO","Angola","Vitamin B-12",20.8118922878959,20.8118922878959
"AGO","Angola","Zinc",16.8663132195201,16.8663132195201
"ALB","Albania","Calcium",0.588877867196456,0.588877867196456
"ALB","Albania","Iron",0.43869127624736,0.43869127624736
"ALB","Albania","Omega-3 fatty acids",39.4134498058686,39.4134498058686
"ALB","Albania","Vitamin A, RAE",0.158233944572463,0.158233944572463
"ALB","Albania","Vitamin B-12",3.98496199129486e-12,3.98496199129486e-12
"ALB","Albania","Zinc",0.00538108721817105,0.00538108721817105
"ARE","United Arab Emirates","Calcium",58.6999284496434,58.6999284496434
"ARE","United Arab Emirates","Iron",0.130583489388357,0.130583489388357
"ARE","United Arab Emirates","Omega-3 fatty acids",0,0
"ARE","United Arab Emirates","Vitamin A, RAE",6.83851501192995,6.83851501192995
"ARE","United Arab Emirates","Vitamin B-12",0.026097723109539,0.026097723109539
"ARE","United Arab Emirates","Zinc",0.00149270998353621,0.00149270998353621
"ARG","Argentina","Calcium",94.3445819375099,94.3445819375099
"ARG","Argentina","Iron",2.42980474854006,2.42980474854006
"ARG","Argentina","Omega-3 fatty acids",78.2682321511711,78.2682321511711
"ARG","Argentina","Vitamin A, RAE",4.71191566916247e-16,4.71191566916247e-16
"ARG","Argentina","Vitamin B-12",0,0
"ARG","Argentina","Zinc",7.00529646991774e-06,7.00529646991774e-06
"ARM","Armenia","Calcium",45.5513494754962,45.5513494754962
"ARM","Armenia","Iron",1.22776498726807,1.22776498726807
"ARM","Armenia","Omega-3 fatty acids",53.5432680842493,53.5432680842493
"ARM","Armenia","Vitamin A, RAE",0.0169946102665946,0.0169946102665946
"ARM","Armenia","Vitamin B-12",0,0
"ARM","Armenia","Zinc",0.148039794311819,0.148039794311819
"ATG","Antigua & Barbuda","Calcium",56.7015366440566,56.7015366440566
"ATG","Antigua & Barbuda","Iron",4.65508117150613,4.65508117150613
"ATG","Antigua & Barbuda","Omega-3 fatty acids",0.38573787621252,0.38573787621252
"ATG","Antigua & Barbuda","Vitamin A, RAE",1.21053933865771,1.21053933865771
"ATG","Antigua & Barbuda","Vitamin B-12",4.31969645167865e-14,4.31969645167865e-14
"ATG","Antigua & Barbuda","Zinc",2.95939401246796,2.95939401246796
"AUS","Australia","Calcium",48.1058161213598,48.1058161213598
"AUS","Australia","Iron",0.858001364709982,0.858001364709982
"AUS","Australia","Omega-3 fatty acids",0,0
"AUS","Australia","Vitamin A, RAE",7.19861374338222e-11,7.19861374338222e-11
"AUS","Australia","Vitamin B-12",0,0
"AUS","Australia","Zinc",5.19268176983519e-05,5.19268176983519e-05
"AUT","Austria","Calcium",56.1859021250267,56.1859021250267
"AUT","Austria","Iron",2.23442473707511,2.23442473707511
"AUT","Austria","Omega-3 fatty acids",7.00684700281928,7.00684700281928
"AUT","Austria","Vitamin A, RAE",35.7335910489686,35.7335910489686
"AUT","Austria","Vitamin B-12",0.238813966768031,0.238813966768031
"AUT","Austria","Zinc",0.0151942820128826,0.0151942820128826
"AZE","Azerbaijan","Calcium",79.9628667646031,79.9628667646031
"AZE","Azerbaijan","Iron",0.334229557388785,0.334229557388785
"AZE","Azerbaijan","Omega-3 fatty acids",71.6181238530349,71.6181238530349
"AZE","Azerbaijan","Vitamin A, RAE",16.1990854055193,16.1990854055193
"AZE","Azerbaijan","Vitamin B-12",0.105540488681348,0.105540488681348
"AZE","Azerbaijan","Zinc",6.00311063076051,6.00311063076051
"BEL","Belgium","Calcium",56.3618947313982,56.3618947313982
"BEL","Belgium","Iron",2.28212635003507,2.28212635003507
"BEL","Belgium","Omega-3 fatty acids",7.00684700281928,7.00684700281928
"BEL","Belgium","Vitamin A, RAE",36.3233803627129,36.3233803627129
"BEL","Belgium","Vitamin B-12",0.238813966768031,0.238813966768031
"BEL","Belgium","Zinc",0.01752950731882,0.01752950731882
"BEN","Benin","Calcium",98.1231725638762,98.1231725638762
"BEN","Benin","Iron",61.9452669461231,61.9452669461231
"BEN","Benin","Omega-3 fatty acids",21.6835286471367,21.6835286471367
"BEN","Benin","Vitamin A, RAE",26.6939220405906,26.6939220405906
"BEN","Benin","Vitamin B-12",38.3332500035238,38.3332500035238
"BEN","Benin","Zinc",70.9358072912967,70.9358072912967
"BFA","Burkina Faso","Calcium",99.6818270884695,99.6818270884695
"BFA","Burkina Faso","Iron",17.98506018027,17.98506018027
"BFA","Burkina Faso","Omega-3 fatty acids",63.4006037370976,63.4006037370976
"BFA","Burkina Faso","Vitamin A, RAE",85.3602828672844,85.3602828672844
"BFA","Burkina Faso","Vitamin B-12",35.7979064567344,35.7979064567344
"BFA","Burkina Faso","Zinc",29.1695103073283,29.1695103073283
"BGD","Bangladesh","Calcium",95.4187466716391,95.4187466716391
"BGD","Bangladesh","Iron",43.488654653366,43.488654653366
"BGD","Bangladesh","Omega-3 fatty acids",2.30262786677054,2.30262786677054
"BGD","Bangladesh","Vitamin A, RAE",85.9301635112395,85.9301635112395
"BGD","Bangladesh","Vitamin B-12",44.7880061707133,44.7880061707133
"BGD","Bangladesh","Zinc",15.4419588738926,15.4419588738926
"BGR","Bulgaria","Calcium",56.2567340839647,56.2567340839647
"BGR","Bulgaria","Iron",2.4997321323344,2.4997321323344
"BGR","Bulgaria","Omega-3 fatty acids",7.00684700281928,7.00684700281928
"BGR","Bulgaria","Vitamin A, RAE",36.3814433484908,36.3814433484908
"BGR","Bulgaria","Vitamin B-12",0.238813966768031,0.238813966768031
"BGR","Bulgaria","Zinc",0.0136859744275564,0.0136859744275564
"BHS","Bahamas","Calcium",83.7040234642969,83.7040234642969
"BHS","Bahamas","Iron",13.9014122303255,13.9014122303255
"BHS","Bahamas","Omega-3 fatty acids",19.8992684892901,19.8992684892901
"BHS","Bahamas","Vitamin A, RAE",32.5343500106769,32.5343500106769
"BHS","Bahamas","Vitamin B-12",0.00772321810028604,0.00772321810028604
"BHS","Bahamas","Zinc",5.00010478851783,5.00010478851783
"BIH","Bosnia & Herzegovina","Calcium",51.2880811252703,51.2880811252703
"BIH","Bosnia & Herzegovina","Iron",0.85459280120374,0.85459280120374
"BIH","Bosnia & Herzegovina","Omega-3 fatty acids",84.3200285789548,84.3200285789548
"BIH","Bosnia & Herzegovina","Vitamin A, RAE",0.318854238241378,0.318854238241378
"BIH","Bosnia & Herzegovina","Vitamin B-12",0.469831250003552,0.469831250003552
"BIH","Bosnia & Herzegovina","Zinc",0.0108147447543907,0.0108147447543907
"BLR","Belarus","Calcium",67.5344864618969,67.5344864618969
"BLR","Belarus","Iron",2.77374519823832,2.77374519823832
"BLR","Belarus","Omega-3 fatty acids",15.8646776486196,15.8646776486196
"BLR","Belarus","Vitamin A, RAE",0.00220120546160192,0.00220120546160192
"BLR","Belarus","Vitamin B-12",0,0
"BLR","Belarus","Zinc",0.00599019674052287,0.00599019674052287
"BLZ","Belize","Calcium",85.1574028987663,85.1574028987663
"BLZ","Belize","Iron",7.24227600228002,7.24227600228002
"BLZ","Belize","Omega-3 fatty acids",9.71045475644365,9.71045475644365
"BLZ","Belize","Vitamin A, RAE",65.6196709659548,65.6196709659548
"BLZ","Belize","Vitamin B-12",2.82665597629221,2.82665597629221
"BLZ","Belize","Zinc",17.7018558138841,17.7018558138841
"BOL","Bolivia","Calcium",99.6875883960104,99.6875883960104
"BOL","Bolivia","Iron",10.1323619383416,10.1323619383416
"BOL","Bolivia","Omega-3 fatty acids",84.130162144445,84.130162144445
"BOL","Bolivia","Vitamin A, RAE",81.7921679727503,81.7921679727503
"BOL","Bolivia","Vitamin B-12",15.8902526421643,15.8902526421643
"BOL","Bolivia","Zinc",1.13719235347189,1.13719235347189
"BRA","Brazil","Calcium",85.4497886353542,85.4497886353542
"BRA","Brazil","Iron",8.99439293049986,8.99439293049986
"BRA","Brazil","Omega-3 fatty acids",59.1277350745624,59.1277350745624
"BRA","Brazil","Vitamin A, RAE",9.53260153976768,9.53260153976768
"BRA","Brazil","Vitamin B-12",5.7454968504473e-19,5.7454968504473e-19
"BRA","Brazil","Zinc",3.16292595819159e-05,3.16292595819159e-05
"BRB","Barbados","Calcium",72.2748547575503,72.2748547575503
"BRB","Barbados","Iron",1.75198435757035,1.75198435757035
"BRB","Barbados","Omega-3 fatty acids",0.555679375673417,0.555679375673417
"BRB","Barbados","Vitamin A, RAE",17.7203258775336,17.7203258775336
"BRB","Barbados","Vitamin B-12",0.00679916185188484,0.00679916185188484
"BRB","Barbados","Zinc",4.28273808661558,4.28273808661558
"BWA","Botswana","Calcium",91.6944610595997,91.6944610595997
"BWA","Botswana","Iron",4.66212484690305,4.66212484690305
"BWA","Botswana","Omega-3 fatty acids",84.5208617424508,84.5208617424508
"BWA","Botswana","Vitamin A, RAE",35.1766346253122,35.1766346253122
"BWA","Botswana","Vitamin B-12",0.0124614482960116,0.0124614482960116
"BWA","Botswana","Zinc",4.42346210775076,4.42346210775076
"CAF","Central African Republic","Calcium",97.697827159999,97.697827159999
"CAF","Central African Republic","Iron",91.8826344266555,91.8826344266555
"CAF","Central African Republic","Omega-3 fatty acids",65.8000854150781,65.8000854150781
"CAF","Central African Republic","Vitamin A, RAE",54.8861739790344,54.8861739790344
"CAF","Central African Republic","Vitamin B-12",0.0177054762274409,0.0177054762274409
"CAF","Central African Republic","Zinc",88.3641728949349,88.3641728949349
"CAN","Canada","Calcium",68.3318205767898,68.3318205767898
"CAN","Canada","Iron",0.256209686212539,0.256209686212539
"CAN","Canada","Omega-3 fatty acids",0,0
"CAN","Canada","Vitamin A, RAE",11.7699378488895,11.7699378488895
"CAN","Canada","Vitamin B-12",2.49733466254008,2.49733466254008
"CAN","Canada","Zinc",0.00870615351421583,0.00870615351421583
"CHE","Switzerland","Calcium",51.9827241252261,51.9827241252261
"CHE","Switzerland","Iron",2.57915050830543,2.57915050830543
"CHE","Switzerland","Omega-3 fatty acids",17.1169749301315,17.1169749301315
"CHE","Switzerland","Vitamin A, RAE",0.742504056449505,0.742504056449505
"CHE","Switzerland","Vitamin B-12",8.98884911138684e-09,8.98884911138684e-09
"CHE","Switzerland","Zinc",0.0117873616267714,0.0117873616267714
"CHL","Chile","Calcium",94.9853525594136,94.9853525594136
"CHL","Chile","Iron",0.821473766755446,0.821473766755446
"CHL","Chile","Omega-3 fatty acids",27.2750590908852,27.2750590908852
"CHL","Chile","Vitamin A, RAE",20.9347206971523,20.9347206971523
"CHL","Chile","Vitamin B-12",0.00058868237072129,0.00058868237072129
"CHL","Chile","Zinc",0,0
"CHN","China","Calcium",64.4114677710598,64.4114677710598
"CHN","China","Iron",2.25629219806708,2.25629219806708
"CHN","China","Omega-3 fatty acids",1.40083708676257,1.40083708676257
"CHN","China","Vitamin A, RAE",7.33235482804295e-07,7.33235482804295e-07
"CHN","China","Vitamin B-12",0.000274159994912302,0.000274159994912302
"CHN","China","Zinc",0.0848511198048642,0.0848511198048642
