"country","iso3","sex_id","age_id","cause","DALY2030","DALY2030_all","deltaDALY2030_all_hr","DALY2030_all_hr"
"Afghanistan","AFG",1,15,495,18610.6713464495,143.787182518093,0.0101716614280477,143.797354179521
"Afghanistan","AFG",1,15,496,22362.6882113703,0,0,0
"Afghanistan","AFG",1,15,497,3226.75659459543,0,0,0
"Afghanistan","AFG",1,15,976,23356.3914470558,92.22622892338,0.00342234676929098,92.2296512701493
"Afghanistan","AFG",1,16,429,74.7070317456251,0.109091142507331,2.32733335602717e-06,0.109093469840687
"Afghanistan","AFG",1,16,441,1648.53874152625,21.4977723887139,0.000688190706527195,21.4984605794205
"Afghanistan","AFG",1,16,493,31760.4659487313,71.6825560888243,0.00257012819051659,71.6851262170148
"Afghanistan","AFG",1,16,495,5083.74564117581,32.1348992922829,0.00200527071431386,32.1369045629973
"Afghanistan","AFG",1,16,496,2174.354879526,0,0,0
"Afghanistan","AFG",1,16,497,415.065999863465,0,0,0
"Afghanistan","AFG",1,16,976,9219.26130444352,37.4677581328192,0.00172174110088256,37.4694798739201
"Afghanistan","AFG",1,17,429,28.8514511014644,0.0407317339354226,4.92593743357059e-07,0.040732226529166
"Afghanistan","AFG",1,17,441,1109.03883320641,13.7941354651816,0.000312834774258395,13.7944482999559
"Afghanistan","AFG",1,17,493,839.888472919683,1.60499253242439,3.70833973044553e-05,1.6050296158217
"Afghanistan","AFG",1,17,495,1553.29229213757,7.21809361159648,0.000304991338966381,7.21839860293544
"Afghanistan","AFG",1,17,496,0,0,0,0
"Afghanistan","AFG",1,17,497,0,0,0,0
"Afghanistan","AFG",1,17,976,5611.17943973329,22.2305613735213,0.000817212798619761,22.23137858632
"Afghanistan","AFG",1,18,429,46.8051025411722,0.0757198340735879,1.00576350709472e-06,0.0757208398370949
"Afghanistan","AFG",1,18,441,1258.84337284491,15.1724969585904,0.000355826278515843,15.1728527848689
"Afghanistan","AFG",1,18,493,8956.50082064561,9.37362939841386,0.00028723489097701,9.37391663330484
"Afghanistan","AFG",1,18,495,3455.2337690322,15.7376866302609,0.000542070077707443,15.7382287003386
"Afghanistan","AFG",1,18,496,0,0,0,0
"Afghanistan","AFG",1,18,497,0,0,0,0
