"","iso3","country","nutrient","units","scenario","year","intake_orig","intake","intake_diff","intake_diff_cap"
"50","AGO","Angola","Protein","g/p/d","High",2030,99.681798163,99.681798163,0,0
"51","AGO","Angola","Vitamin A","mg/p/d retinol","Base",2030,1494.270023039,1494.270023039,0,0
"52","AGO","Angola","Vitamin A","mg/p/d retinol","High",2030,1496.634866751,1496.634866751,0,0
"53","AGO","Angola","Vitamin B12","ug/p/d","Base",2030,6.50700422,6.50700422,0,0
"54","AGO","Angola","Vitamin B12","ug/p/d","High",2030,6.57644414,6.57644414,0,0
"55","AGO","Angola","Zinc","mg/p/d","Base",2030,14.440322901,14.440322901,0,0
"56","AGO","Angola","Zinc","mg/p/d","High",2030,14.480342083,14.480342083,0,0
"57","ATG","Antigua & Barbuda","Calcium","mg/p/d","Base",2030,1238.462114796,1549.76068202724,311.29856723124,217.803035844886
"58","ATG","Antigua & Barbuda","Calcium","mg/p/d","High",2030,1244.024983633,1558.77860939994,314.75362576694,217.803035844886
"59","ATG","Antigua & Barbuda","Iron","mg/p/d","Base",2030,35.565848257,42.918641369925,7.352793112925,3.96167470982138
"60","ATG","Antigua & Barbuda","Iron","mg/p/d","High",2030,35.709846421,43.1428506819335,7.4330042609335,3.96167470982138
"61","ATG","Antigua & Barbuda","Omega-3 fatty acids","g/p/d","Base",2030,3.276231938,7.9221730153611,4.6459410773611,3.53128696217079
"62","ATG","Antigua & Barbuda","Omega-3 fatty acids","g/p/d","High",2030,3.331082507,8.05008852467539,4.71900601767539,3.53128696217079
"63","ATG","Antigua & Barbuda","Protein","g/p/d","Base",2030,184.467347801,178.77398378774,-5.69336401325998,-5.69336401325998
"64","ATG","Antigua & Barbuda","Protein","g/p/d","High",2030,188.044330627,180.763410885508,-7.280919741492,-6.27902305249535
"65","ATG","Antigua & Barbuda","Vitamin A","mg/p/d retinol","Base",2030,2101.286161989,2203.063697939,101.77753595,90.8913862073486
"66","ATG","Antigua & Barbuda","Vitamin A","mg/p/d retinol","High",2030,2103.729487512,2204.55555757402,100.82607006202,90.8913862073486
"67","ATG","Antigua & Barbuda","Vitamin B12","ug/p/d","Base",2030,17.766615965,28.9168525365654,11.1502365715654,8.92886461569528
"68","ATG","Antigua & Barbuda","Vitamin B12","ug/p/d","High",2030,18.193241478,29.4015630582731,11.2083215802731,8.92886461569528
"69","ATG","Antigua & Barbuda","Zinc","mg/p/d","Base",2030,18.071210806,22.904178790043,4.832967984043,3.60004538744873
"70","ATG","Antigua & Barbuda","Zinc","mg/p/d","High",2030,18.166724094,23.0465236820734,4.8797995880734,3.60004538744873
"71","ARG","Argentina","Calcium","mg/p/d","Base",2030,1144.44981843,1144.44981843,0,0
"72","ARG","Argentina","Calcium","mg/p/d","High",2030,1144.697167806,1144.697167806,0,0
"73","ARG","Argentina","Iron","mg/p/d","Base",2030,41.622641617,41.622641617,0,0
"74","ARG","Argentina","Iron","mg/p/d","High",2030,41.622292458,41.622292458,0,0
"75","ARG","Argentina","Omega-3 fatty acids","g/p/d","Base",2030,1.533397792,1.533397792,0,0
"76","ARG","Argentina","Omega-3 fatty acids","g/p/d","High",2030,1.535011197,1.535011197,0,0
"77","ARG","Argentina","Protein","g/p/d","Base",2030,196.520415456,196.520415456,0,0
"78","ARG","Argentina","Protein","g/p/d","High",2030,196.718824006,196.718824006,0,0
"79","ARG","Argentina","Vitamin A","mg/p/d retinol","Base",2030,2741.256056209,2741.256056209,0,0
"80","ARG","Argentina","Vitamin A","mg/p/d retinol","High",2030,2740.471767447,2740.471767447,0,0
"81","ARG","Argentina","Vitamin B12","ug/p/d","Base",2030,28.232009597,28.232009597,0,0
"82","ARG","Argentina","Vitamin B12","ug/p/d","High",2030,28.280397143,28.280397143,0,0
"83","ARG","Argentina","Zinc","mg/p/d","Base",2030,24.993496499,24.993496499,0,0
"84","ARG","Argentina","Zinc","mg/p/d","High",2030,24.985612066,24.985612066,0,0
"85","ARM","Armenia","Calcium","mg/p/d","Base",2030,2621.272331853,2621.272331853,0,0
"86","ARM","Armenia","Calcium","mg/p/d","High",2030,2610.89003564,2610.89003564,0,0
