"country_final","nutrient","sex","age_group","best_dist","g_shape","g_rate","g_ks","ln_meanlog","ln_sdlog","ln_ks"
"Bangladesh","Calcium","women","15-19","log-normal",8.8672068664228,0.0532345493612183,0.0385794711291789,5.05791054291596,0.338316849957068,0.019115614262634
"Bangladesh","Calcium","women","20-24","log-normal",9.54554314131524,0.0607697245632242,0.0229521403224753,5.00346336754088,0.326124575858896,0.00435004444703035
"Bangladesh","Calcium","women","25-29","log-normal",9.64261024737321,0.0638441095357872,0.0243100475250552,4.9647317828073,0.324566892460382,0.00578513960476248
"Bangladesh","Calcium","women","30-34","log-normal",9.67639767009684,0.068445728479501,0.02265268334545,4.89876227862094,0.32451118854818,0.00653034219264803
"Bangladesh","Calcium","women","35-39","log-normal",9.47324767237421,0.0698347169262833,0.0321192116243012,4.85636673433673,0.327668319522346,0.0100270550352072
"Bangladesh","Calcium","women","40-44","log-normal",9.90120465038964,0.0770075054712715,0.019453840770349,4.80506138392973,0.322262840560692,0.0149722228967358
"Bangladesh","Calcium","women","45-49","log-normal",10.31026947441,0.0850341095347991,0.0524780550876776,4.74856282902057,0.313882853747519,0.034722553751323
"Bangladesh","Calcium","women","50-54","log-normal",10.3564588629366,0.0882947589166881,0.0447580605806359,4.71565504094551,0.312123684904434,0.0314768874140167
"Bangladesh","Calcium","women","55-59","log-normal",9.21847856525265,0.0841582948443483,0.0470838452412192,4.64105564360032,0.331879041709452,0.0410761668625967
"Bangladesh","Calcium","women","60-64","log-normal",9.34719659493682,0.0882960085823412,0.0559090313312145,4.60762012962436,0.336664991701423,0.0528932853448967
"Bangladesh","Calcium","women","65-69","log-normal",8.86899583766835,0.09090956073891,0.0879362072313796,4.52309706087263,0.339458649236977,0.0681122743261791
"Bangladesh","Calcium","women","70-74","log-normal",9.63570523295411,0.104668238458133,0.0611461436621853,4.46966905917234,0.320913580660536,0.0387286108449195
"Bangladesh","Iron","women","15-19","log-normal",9.43740975361565,1.13724589812724,0.0207257101476822,2.0621893485705,0.332981714339921,0.017453618510578
"Bangladesh","Iron","women","20-24","gamma",9.72340297441853,1.2540229909563,0.00342979565890911,1.99583785309322,0.328473376741859,0.021019121934215
"Bangladesh","Iron","women","25-29","gamma",9.49939564384061,1.29260915408126,0.0057102263418983,1.94101183883381,0.332326069187659,0.0227577439762259
"Bangladesh","Iron","women","30-34","gamma",9.01491984630187,1.33737596473614,0.00532546943806173,1.85170128111582,0.342358751121629,0.0256070853771631
"Bangladesh","Iron","women","35-39","gamma",8.51334767761205,1.34116148881558,0.0117542145987118,1.78823653612645,0.352247604481518,0.023499005237692
"Bangladesh","Iron","women","40-44","gamma",8.43411141578919,1.4288801503484,0.0141648808422981,1.71486750728643,0.356149311498174,0.0363224760882983
"Bangladesh","Iron","women","45-49","gamma",8.45391593838521,1.55500570345708,0.0353671771137253,1.63281571541875,0.352504490829219,0.0387232547792316
"Bangladesh","Iron","women","50-54","gamma",8.25844347728022,1.60452435771767,0.0328522253173836,1.57664104379272,0.357784486812757,0.0384900720585851
"Bangladesh","Iron","women","55-59","gamma",6.88383096360083,1.47596360618969,0.0407398925103176,1.46552232893009,0.392632862337344,0.0574058230376038
"Bangladesh","Iron","women","60-64","gamma",6.47747981373053,1.47316438581136,0.0532250506034668,1.40174306729074,0.415879129450283,0.0729058785134319
"Bangladesh","Iron","women","65-69","log-normal",5.90916826191204,1.51387109091568,0.0696696743614823,1.27487958128227,0.42618980897645,0.0596856070107692
"Bangladesh","Iron","women","70-74","log-normal",6.22450964275012,1.74992879153015,0.0414140807651617,1.18639118415244,0.410380555328105,0.0405477247586105
"Bangladesh","Omega-3 fatty acids","women","15-19","gamma",0.801617119246565,15.3632467753968,0.0388872534447225,-3.69318419357781,1.39935865437142,0.0690804839333071
"Bangladesh","Omega-3 fatty acids","women","20-24","gamma",0.804836294310937,15.7889577241844,0.0371818743150765,-3.71335187258875,1.39235466651886,0.053405032561609
"Bangladesh","Omega-3 fatty acids","women","25-29","gamma",0.820358895329265,16.0542938573843,0.0366201459357987,-3.69482463129236,1.3768082612087,0.0550026407212731
"Bangladesh","Omega-3 fatty acids","women","30-34","gamma",0.915318759687499,16.4969889499411,0.0372358047194236,-3.52899125717773,1.27475697892447,0.0513120264683584
"Bangladesh","Omega-3 fatty acids","women","35-39","gamma",0.926550207220673,15.8772013619914,0.0360656466966279,-3.46976468585615,1.26305564991432,0.0500382144172946
"Bangladesh","Omega-3 fatty acids","women","40-44","gamma",0.913658523617773,16.6649024793488,0.046548416116617,-3.54212265351399,1.26067394984152,0.0544928764772339
"Bangladesh","Omega-3 fatty acids","women","45-49","gamma",0.968113475157935,16.3059536667723,0.0479695496315845,-3.42249288897805,1.17027201196219,0.0589511220964226
