"iso3c","year","units","scenario","nutrient","nutrient_supply_dis","nutrient_supply"
"AFG","2015","mg/p/d","high","Iron",38.6020535718408,38.59
"AFG","2015","mg/p/d","high","Zinc",10.0473816014988,10.04
"AFG","2015","mg/p/d retinol","base","Vitamin A",420.239887538441,420.27
"AFG","2015","mg/p/d retinol","high","Vitamin A",420.239887538441,420.27
"AFG","2015","ug/p/d","base","Vitamin B12",4.48800559226276,4.48
"AFG","2015","ug/p/d","high","Vitamin B12",4.48800559226276,4.48
"AFG","2016","g/p/d","base","Omega-3 fatty acids",0.176838083187123,0.17
"AFG","2016","g/p/d","base","Protein",107.438096492376,107.5
"AFG","2016","g/p/d","high","Omega-3 fatty acids",0.176838083187123,0.17
"AFG","2016","g/p/d","high","Protein",107.438096492376,107.5
"AFG","2016","mg/p/d","base","Calcium",617.275918574,617.09
"AFG","2016","mg/p/d","base","Iron",38.9622235944157,38.95
"AFG","2016","mg/p/d","base","Zinc",10.1374857232405,10.13
"AFG","2016","mg/p/d","high","Calcium",617.275918574,617.09
"AFG","2016","mg/p/d","high","Iron",38.9622235944157,38.95
"AFG","2016","mg/p/d","high","Zinc",10.1374857232405,10.13
"AFG","2016","mg/p/d retinol","base","Vitamin A",438.262848123088,438.32
"AFG","2016","mg/p/d retinol","high","Vitamin A",438.262848123088,438.32
"AFG","2016","ug/p/d","base","Vitamin B12",4.28825957151469,4.28
"AFG","2016","ug/p/d","high","Vitamin B12",4.28825957151469,4.28
"AFG","2017","g/p/d","base","Omega-3 fatty acids",0.17688032461182,0.17
"AFG","2017","g/p/d","base","Protein",107.74827005503,107.82
"AFG","2017","g/p/d","high","Omega-3 fatty acids",0.17688032461182,0.17
"AFG","2017","g/p/d","high","Protein",107.74827005503,107.82
"AFG","2017","mg/p/d","base","Calcium",643.209043824273,643.05
"AFG","2017","mg/p/d","base","Iron",39.0722991041791,39.07
"AFG","2017","mg/p/d","base","Zinc",10.0075319653827,10
"AFG","2017","mg/p/d","high","Calcium",643.209043824273,643.05
"AFG","2017","mg/p/d","high","Iron",39.0722991041791,39.07
"AFG","2017","mg/p/d","high","Zinc",10.0075319653827,10
"AFG","2017","mg/p/d retinol","base","Vitamin A",402.704162966402,402.78
"AFG","2017","mg/p/d retinol","high","Vitamin A",402.704162966402,402.78
"AFG","2017","ug/p/d","base","Vitamin B12",4.0483723677902,4.04
"AFG","2017","ug/p/d","high","Vitamin B12",4.0483723677902,4.04
"AFG","2018","g/p/d","base","Omega-3 fatty acids",0.168308269186334,0.161997536
"AFG","2018","g/p/d","base","Protein",107.838548762106,107.911691744
"AFG","2018","g/p/d","high","Omega-3 fatty acids",0.168308269186334,0.161997536
"AFG","2018","g/p/d","high","Protein",107.838548762106,107.911691744
"AFG","2018","mg/p/d","base","Calcium",653.28851287965,653.168364925
"AFG","2018","mg/p/d","base","Iron",39.0170661321317,39.015692485
"AFG","2018","mg/p/d","base","Zinc",9.98623961952056,9.979331192
"AFG","2018","mg/p/d","high","Calcium",653.28851287965,653.168364925
"AFG","2018","mg/p/d","high","Iron",39.0170661321317,39.015692485
"AFG","2018","mg/p/d","high","Zinc",9.98623961952056,9.979331192
"AFG","2018","mg/p/d retinol","base","Vitamin A",404.202890763425,404.293768182
"AFG","2018","mg/p/d retinol","high","Vitamin A",404.202890763425,404.293768182
"AFG","2018","ug/p/d","base","Vitamin B12",4.05823860930248,4.051294477
"AFG","2018","ug/p/d","high","Vitamin B12",4.05823860930248,4.051294477
"AFG","2019","g/p/d","base","Omega-3 fatty acids",0.167179451454548,0.160963797
"AFG","2019","g/p/d","base","Protein",107.440488706163,107.512015239
"AFG","2019","g/p/d","high","Omega-3 fatty acids",0.167179451454548,0.160963797
"AFG","2019","g/p/d","high","Protein",107.440488706163,107.512015239
"AFG","2019","mg/p/d","base","Calcium",644.634637783114,644.514499379
"AFG","2019","mg/p/d","base","Iron",38.9887081066584,38.987303708
"AFG","2019","mg/p/d","base","Zinc",9.93323100780985,9.926426664
"AFG","2019","mg/p/d","high","Calcium",644.634637783114,644.514499379
"AFG","2019","mg/p/d","high","Iron",38.9887081066584,38.987303708
"AFG","2019","mg/p/d","high","Zinc",9.93323100780985,9.926426664
"AFG","2019","mg/p/d retinol","base","Vitamin A",400.941755133147,401.029771432
"AFG","2019","mg/p/d retinol","high","Vitamin A",400.941755133147,401.029771432
"AFG","2019","ug/p/d","base","Vitamin B12",4.01500112381777,4.008110166
"AFG","2019","ug/p/d","high","Vitamin B12",4.01500112381777,4.008110166
"AFG","2020","g/p/d","base","Omega-3 fatty acids",0.168416050298648,0.162465094
"AFG","2020","g/p/d","base","Protein",107.316194332561,107.387551778
"AFG","2020","g/p/d","high","Omega-3 fatty acids",0.168303800804671,0.162349632
"AFG","2020","g/p/d","high","Protein",107.354743524188,107.426772937
"AFG","2020","mg/p/d","base","Calcium",650.008979856332,649.904026863
"AFG","2020","mg/p/d","base","Iron",38.875664898548,38.874608
"AFG","2020","mg/p/d","base","Zinc",9.92396600289052,9.917451427
"AFG","2020","mg/p/d","high","Calcium",650.311137988994,650.208345398
"AFG","2020","mg/p/d","high","Iron",38.8862923231472,38.885298198
"AFG","2020","mg/p/d","high","Zinc",9.92766464365543,9.921146551
"AFG","2020","mg/p/d retinol","base","Vitamin A",402.326909825188,402.419520962
"AFG","2020","mg/p/d retinol","high","Vitamin A",402.523224253444,402.617722376
"AFG","2020","ug/p/d","base","Vitamin B12",4.03015434660376,4.023844538
"AFG","2020","ug/p/d","high","Vitamin B12",4.03238098988248,4.026131119
"AFG","2021","g/p/d","base","Omega-3 fatty acids",0.169825333167487,0.163965498
"AFG","2021","g/p/d","base","Protein",107.218455788709,107.289989755
"AFG","2021","g/p/d","high","Omega-3 fatty acids",0.16967481057615,0.163812486
"AFG","2021","g/p/d","high","Protein",107.269846319256,107.342420454
"AFG","2021","mg/p/d","base","Calcium",652.788615928607,652.68971199
"AFG","2021","mg/p/d","base","Iron",38.8091838825872,38.808270082
"AFG","2021","mg/p/d","base","Zinc",9.91336733060781,9.906952506
"AFG","2021","mg/p/d","high","Calcium",653.169824986595,653.074413256
"AFG","2021","mg/p/d","high","Iron",38.8234527135948,38.822639502
"AFG","2021","mg/p/d","high","Zinc",9.91848606879025,9.912068519
"AFG","2021","mg/p/d retinol","base","Vitamin A",404.070497028629,404.165370627
"AFG","2021","mg/p/d retinol","high","Vitamin A",404.317151102127,404.414993363
"AFG","2021","ug/p/d","base","Vitamin B12",4.04106759500622,4.034981317
"AFG","2021","ug/p/d","high","Vitamin B12",4.04416991441519,4.038182028
"AFG","2022","g/p/d","base","Omega-3 fatty acids",0.171322234313517,0.16553364
"AFG","2022","g/p/d","base","Protein",107.111450857453,107.18315298
"AFG","2022","g/p/d","high","Omega-3 fatty acids",0.17117210337841,0.165383202
"AFG","2022","g/p/d","high","Protein",107.176465517129,107.249670172
"AFG","2022","mg/p/d","base","Calcium",655.831392776882,655.737323663
"AFG","2022","mg/p/d","base","Iron",38.7390268871358,38.738227979
"AFG","2022","mg/p/d","base","Zinc",9.90225723247844,9.895920396
"AFG","2022","mg/p/d","high","Calcium",656.297027850212,656.208199297
"AFG","2022","mg/p/d","high","Iron",38.7574227530377,38.756773675
"AFG","2022","mg/p/d","high","Zinc",9.90873521162568,9.902398039
"AFG","2022","mg/p/d retinol","base","Vitamin A",405.881664733863,405.978394612
"AFG","2022","mg/p/d retinol","high","Vitamin A",406.189910278832,406.290991602
"AFG","2022","ug/p/d","base","Vitamin B12",4.05341376124183,4.04750526
"AFG","2022","ug/p/d","high","Vitamin B12",4.05731780118994,4.051558859
"AFG","2023","g/p/d","base","Omega-3 fatty acids",0.172936451196132,0.167220655
"AFG","2023","g/p/d","base","Protein",106.977121970673,107.0490159
