"iso3c","year","units","scenario","nutrient","nutrient_supply_dis","nutrient_supply"
"AFG","2015","mg/p/d","high","Iron",38.6060465275378,38.58
"AFG","2015","mg/p/d","high","Zinc",10.0423861093276,10
"AFG","2015","mg/p/d retinol","base","Vitamin A",420.515627678315,420.28
"AFG","2015","mg/p/d retinol","high","Vitamin A",420.515627678315,420.28
"AFG","2015","ug/p/d","base","Vitamin B12",4.5015729439455,4.48
"AFG","2015","ug/p/d","high","Vitamin B12",4.5015729439455,4.48
"AFG","2016","g/p/d","base","Omega-3 fatty acids",0.195548056766706,0.16
"AFG","2016","g/p/d","base","Protein",107.501947890049,107.5
"AFG","2016","g/p/d","high","Omega-3 fatty acids",0.195548056766706,0.16
"AFG","2016","g/p/d","high","Protein",107.501947890049,107.5
"AFG","2016","mg/p/d","base","Calcium",618.106624887708,617.06
"AFG","2016","mg/p/d","base","Iron",38.9881043967662,38.96
"AFG","2016","mg/p/d","base","Zinc",10.165258189077,10.12
"AFG","2016","mg/p/d","high","Calcium",618.106624887708,617.06
"AFG","2016","mg/p/d","high","Iron",38.9881043967662,38.96
"AFG","2016","mg/p/d","high","Zinc",10.165258189077,10.12
"AFG","2016","mg/p/d retinol","base","Vitamin A",438.57727949798,438.32
"AFG","2016","mg/p/d retinol","high","Vitamin A",438.57727949798,438.32
"AFG","2016","ug/p/d","base","Vitamin B12",4.30582270893433,4.28
"AFG","2016","ug/p/d","high","Vitamin B12",4.30582270893433,4.28
"AFG","2017","g/p/d","base","Omega-3 fatty acids",0.198724794990317,0.16
"AFG","2017","g/p/d","base","Protein",107.820072379475,107.82
"AFG","2017","g/p/d","high","Omega-3 fatty acids",0.198724794990317,0.16
"AFG","2017","g/p/d","high","Protein",107.820072379475,107.82
"AFG","2017","mg/p/d","base","Calcium",644.202804738479,643.06
"AFG","2017","mg/p/d","base","Iron",39.1006375506646,39.08
"AFG","2017","mg/p/d","base","Zinc",10.0290811996846,9.98
"AFG","2017","mg/p/d","high","Calcium",644.202804738479,643.06
"AFG","2017","mg/p/d","high","Iron",39.1006375506646,39.08
"AFG","2017","mg/p/d","high","Zinc",10.0290811996846,9.98
"AFG","2017","mg/p/d retinol","base","Vitamin A",403.06581567185,402.78
"AFG","2017","mg/p/d retinol","high","Vitamin A",403.06581567185,402.78
"AFG","2017","ug/p/d","base","Vitamin B12",4.04893860573233,4.02
"AFG","2017","ug/p/d","high","Vitamin B12",4.04893860573233,4.02
"AFG","2018","g/p/d","base","Omega-3 fatty acids",0.198289792329088,0.1564
"AFG","2018","g/p/d","base","Protein",107.051461329166,107.04661062
"AFG","2018","g/p/d","high","Omega-3 fatty acids",0.198289792329088,0.1564
"AFG","2018","g/p/d","high","Protein",107.051461329166,107.04661062
"AFG","2018","mg/p/d","base","Calcium",641.747751103127,640.51151795
"AFG","2018","mg/p/d","base","Iron",38.8824291297593,38.85914782
"AFG","2018","mg/p/d","base","Zinc",9.96011842588127,9.90498446
"AFG","2018","mg/p/d","high","Calcium",641.747751103127,640.51151795
"AFG","2018","mg/p/d","high","Iron",38.8824291297593,38.85914782
"AFG","2018","mg/p/d","high","Zinc",9.96011842588127,9.90498446
"AFG","2018","mg/p/d retinol","base","Vitamin A",402.107796331116,401.7920738
"AFG","2018","mg/p/d retinol","high","Vitamin A",402.107796331116,401.7920738
"AFG","2018","ug/p/d","base","Vitamin B12",3.97390970462281,3.94322658
"AFG","2018","ug/p/d","high","Vitamin B12",3.97390970462281,3.94322658
"AFG","2019","g/p/d","base","Omega-3 fatty acids",0.193544340444085,0.152908
"AFG","2019","g/p/d","base","Protein",106.290664442002,106.29154864
"AFG","2019","g/p/d","high","Omega-3 fatty acids",0.193544340444085,0.152908
"AFG","2019","g/p/d","high","Protein",106.290664442002,106.29154864
"AFG","2019","mg/p/d","base","Calcium",639.255123017361,638.0578328
"AFG","2019","mg/p/d","base","Iron",38.6658888943986,38.64318104
"AFG","2019","mg/p/d","base","Zinc",9.88739051828405,9.83278704
"AFG","2019","mg/p/d","high","Calcium",639.255123017361,638.0578328
"AFG","2019","mg/p/d","high","Iron",38.6658888943986,38.64318104
"AFG","2019","mg/p/d","high","Zinc",9.88739051828405,9.83278704
"AFG","2019","mg/p/d retinol","base","Vitamin A",401.336010814377,401.0409706
"AFG","2019","mg/p/d retinol","high","Vitamin A",401.336010814377,401.0409706
"AFG","2019","ug/p/d","base","Vitamin B12",3.89880658486969,3.8687939
"AFG","2019","ug/p/d","high","Vitamin B12",3.89880658486969,3.8687939
"AFG","2020","g/p/d","base","Omega-3 fatty acids",0.196038898517594,0.156269901
"AFG","2020","g/p/d","base","Protein",106.52271369433,106.524155509
"AFG","2020","g/p/d","high","Omega-3 fatty acids",0.196165104483915,0.156162054
"AFG","2020","g/p/d","high","Protein",106.561851308508,106.563430439
"AFG","2020","mg/p/d","base","Calcium",645.326675888726,644.142711746
"AFG","2020","mg/p/d","base","Iron",38.705475572919,38.683206276
"AFG","2020","mg/p/d","base","Zinc",9.90970683600831,9.855422768
"AFG","2020","mg/p/d","high","Calcium",645.639370384969,644.444393605
"AFG","2020","mg/p/d","high","Iron",38.7162591952534,38.69386026
"AFG","2020","mg/p/d","high","Zinc",9.91384481722007,9.859113061
"AFG","2020","mg/p/d retinol","base","Vitamin A",403.53205536547,403.244668825
"AFG","2020","mg/p/d retinol","high","Vitamin A",403.735386467345,403.446235175
"AFG","2020","ug/p/d","base","Vitamin B12",3.91911704002341,3.88985958
"AFG","2020","ug/p/d","high","Vitamin B12",3.92157102951367,3.892110201
"AFG","2021","g/p/d","base","Omega-3 fatty acids",0.197253721319535,0.157742628
"AFG","2021","g/p/d","base","Protein",106.841956449598,106.843597564
"AFG","2021","g/p/d","high","Omega-3 fatty acids",0.197476975803362,0.157600236
"AFG","2021","g/p/d","high","Protein",106.894289473104,106.896141522
"AFG","2021","mg/p/d","base","Calcium",649.541125133999,648.357038803
"AFG","2021","mg/p/d","base","Iron",38.8079774488893,38.785697357
"AFG","2021","mg/p/d","base","Zinc",9.93798925582818,9.883270519
"AFG","2021","mg/p/d","high","Calcium",649.93927964285,648.738905309
"AFG","2021","mg/p/d","high","Iron",38.8225201326993,38.800056121
"AFG","2021","mg/p/d","high","Zinc",9.94375143269881,9.88837167
"AFG","2021","mg/p/d retinol","base","Vitamin A",406.314601455241,406.029427037
"AFG","2021","mg/p/d retinol","high","Vitamin A",406.571819914327,406.283838384
"AFG","2021","ug/p/d","base","Vitamin B12",3.93780965506439,3.908825229
"AFG","2021","ug/p/d","high","Vitamin B12",3.94128277124945,3.91197174
"AFG","2022","g/p/d","base","Omega-3 fatty acids",0.198733871064861,0.159379626
"AFG","2022","g/p/d","base","Protein",107.169326163933,107.171139523
"AFG","2022","g/p/d","high","Omega-3 fatty acids",0.199114819783514,0.159240355
"AFG","2022","g/p/d","high","Protein",107.235879516298,107.238003502
"AFG","2022","mg/p/d","base","Calcium",654.338704821578,653.15484
"AFG","2022","mg/p/d","base","Iron",38.9093951341843,38.88711274
"AFG","2022","mg/p/d","base","Zinc",9.96770615124666,9.91265392
"AFG","2022","mg/p/d","high","Calcium",654.830123600914,653.623424044
"AFG","2022","mg/p/d","high","Iron",38.9282537444383,38.905714736
"AFG","2022","mg/p/d","high","Zinc",9.97512491614967,9.919126808
"AFG","2022","mg/p/d retinol","base","Vitamin A",409.313081582265,409.029516232
"AFG","2022","mg/p/d retinol","high","Vitamin A",409.636147501113,409.348704986
"AFG","2022","ug/p/d","base","Vitamin B12",3.95975093917846,3.930942777
"AFG","2022","ug/p/d","high","Vitamin B12",3.96419077972828,3.934932274
"AFG","2023","g/p/d","base","Omega-3 fatty acids",0.200512773888186,0.161229181
"AFG","2023","g/p/d","base","Protein",107.486295983861,107.488318596
"AFG","2023","g/p/d","high","Omega-3 fatty acids",0.201063115602784,0.161115064
"AFG","2023","g/p/d","high","Protein",107.566223545051,107.568653001
"AFG","2023","mg/p/d","base","Calcium",659.437908594535,658.253650368
"AFG","2023","mg/p/d","base","Iron",39.0033018709218,38.981087863
"AFG","2023","mg/p/d","base","Zinc",9.99616393370753,9.941047423
"AFG","2023","mg/p/d","high","Calcium",659.984042865899,658.770237255
"AFG","2023","mg/p/d","high","Iron",39.0270181838276,39.004455875
"AFG","2023","mg/p/d","high","Zinc",10.0051122176957,9.948693245
"AFG","2023","mg/p/d retinol","base","Vitamin A",412.409706471672,412.126282996
"AFG","2023","mg/p/d retinol","high","Vitamin A",412.777452103322,412.489334852
"AFG","2023","ug/p/d","base","Vitamin B12",3.98361962547148,3.95483415
"AFG","2023","ug/p/d","high","Vitamin B12",3.98875520622734,3.959422103
"AFG","2024","g/p/d","base","Omega-3 fatty acids",0.202329004729853,0.163007502
