,countries,products,elements,country_codes,,product_codes,,ele_codes,,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021,_2022,_2023,_2024,_2025,_2026,_2027,_2028,_2029,_2030
AFG_SH_FO..PC,Afghanistan,Soybeans,Per-capita food consumption [kg/p/d],2,AFG,15,SH,211,FO..PC,3.995214499,4.056646365,3.94843142,3.879913424,3.927459211,3.932837349,3.883492803,4.025304443,3.988556675,3.926154558,3.874842709,3.857618047,3.839392137,3.827551004,3.814605331,3.802700484,3.790258773,3.777217148,3.765338939,3.752474362,3.738052708
AFG_SU_FO..PC,Afghanistan,Sugar,Per-capita food consumption [kg/p/d],2,AFG,7,SU,211,FO..PC,7.439116353,7.707537298,7.961671327,8.16004111,8.316696676,8.428594218,8.814655036,9.012972386,9.236430961,9.513562912,9.801098579,10.1113081,10.44067973,10.75975301,11.08879231,11.4370064,11.81351481,12.19505998,12.57664114,12.9752362,13.38539383
AFG_VL_FO..PC,Afghanistan,Vegetable Oils,Per-capita food consumption [kg/p/d],2,AFG,12,VL,211,FO..PC,3.239770948,3.714450566,3.657147824,3.559205994,4.091532901,4.076137379,4.334097457,4.50599418,4.600615436,4.577056878,4.630811127,4.673645984,4.721265693,4.774604656,4.820789659,4.862312047,4.904856583,4.94745561,4.989080929,5.030315338,5.069985912
AFG_WT_FO..PC,Afghanistan,Wheat and products,Per-capita food consumption [kg/p/d],2,AFG,2,WT,211,FO..PC,148.9094516,145.7025037,146.8409302,148.2470782,151.2084906,155.2288589,158.1049094,162.571277,162.4178439,162.3846834,161.9191386,161.6449474,161.3507517,161.0192679,160.8283936,160.7040687,160.6466349,160.6647016,160.7465201,160.8878654,161.1027275
AGO_BT_FO..PC,Angola,Bovine,Per-capita food consumption [kg/p/d],7,AGO,19,BT,211,FO..PC,0.28769498,0.276929341,0.273159068,0.265392123,0.289660104,0.294848378,0.253239521,0.246408068,0.235634512,0.227214399,0.225191287,0.222216943,0.219230509,0.216491966,0.21360729,0.210884237,0.208167769,0.205495179,0.202859619,0.200232976,0.19764185
AGO_BV_FO..PC,Angola,Butter,Per-capita food consumption [kg/p/d],7,AGO,14,BV,211,FO..PC,4.956363903,5.016313752,5.128149767,5.11494799,5.264129929,5.302071734,5.0647495,5.085681334,4.88068388,4.717550806,4.668936213,4.630510891,4.593834788,4.553780668,4.518464389,4.48583996,4.44898294,4.414744135,4.381041975,4.350910483,4.320564664
AGO_CN_FO..PC,Angola,Coconuts,Per-capita food consumption [kg/p/d],7,AGO,11,CN,211,FO..PC,0.042791493,0.041290639,0.039846749,0.038463994,0.037146458,0.03589465,0.034705999,0.033574856,0.032494747,0.031458841,0.030462355,0.029503325,0.028580982,0.027693867,0.026840791,0.02602052,0.025231641,0.02447277,0.02374278,0.02304061,0.02236522
AGO_EG_FO..PC,Angola,Eggs,Per-capita food consumption [kg/p/d],7,AGO,20,EG,211,FO..PC,0.149669641,0.150813166,0.154266646,0.147632254,0.146042023,0.136022399,0.126372768,0.121542873,0.118647442,0.115912322,0.114535302,0.113232928,0.112138748,0.111264617,0.11046889,0.109676065,0.108923045,0.108183042,0.107489889,0.106831938,0.106166816
AGO_FH_FO..PC,Angola,Fish,Per-capita food consumption [kg/p/d],7,AGO,21,FH,211,FO..PC,16.87546532,17.71337369,18.37331533,18.59347797,18.93126173,18.27044206,17.90820282,19.07627387,18.0081179,17.37850038,17.01570573,16.83127057,16.6774248,16.55609871,16.39808937,16.26798837,16.13005109,16.04900155,15.9385833,15.79388407,15.73096186
AGO_HFCS_FO..PC,Angola,HFCS,Per-capita food consumption [kg/p/d],7,AGO,8,HFCS,211,FO..PC,0.00043151,0.000416376,0.000401816,0.000387872,0.000374586,0.000361963,0.000349976,0.00033857,0.000327678,0.000317232,0.000307183,0.000297512,0.000288211,0.000279266,0.000270663,0.000262392,0.000254436,0.000246784,0.000239423,0.000232342,0.000225531
AGO_MA_FO..PC,Angola,Maize and products,Per-capita food consumption [kg/p/d],7,AGO,1,MA,211,FO..PC,43.11997945,43.45151939,43.37690142,43.35084297,43.41467627,43.20221493,42.69375504,42.27133789,42.35219748,42.01522894,41.9360147,41.82203792,41.72606255,41.62460942,41.53114815,41.43865129,41.34142137,41.24576585,41.15087602,41.05463621,40.95882545
AGO_MK_FO..PC,Angola,Milk and Dairy,Per-capita food consumption [kg/p/d],7,AGO,18,MK,211,FO..PC,1.691038934,1.672582653,1.67041222,1.599085081,1.524101057,1.520559689,1.44444127,1.448847865,1.389274343,1.340267096,1.342306497,1.337032385,1.335433853,1.33612092,1.336264265,1.336956953,1.337720949,1.339059313,1.340771234,1.342867659,1.345255254
AGO_OCG_FO..PC,Angola,Other Coarse Grains,Per-capita food consumption [kg/p/d],7,AGO,3,OCG,211,FO..PC,2.710022028,2.670618594,2.647662001,2.627330028,2.647546374,2.6001318,2.532617351,2.523775936,2.639077695,2.485415455,2.47138121,2.457277469,2.442817934,2.427764533,2.413292576,2.39885728,2.384899603,2.371323292,2.357726611,2.344222131,2.330576483
AGO_OOS_FO..PC,Angola,Other Oilseeds,Per-capita food consumption [kg/p/d],7,AGO,10,OOS,211,FO..PC,0.511889981,0.494243744,0.519263977,0.476924152,0.47454135,0.485095159,0.464896576,0.453783311,0.424386875,0.412486237,0.409655856,0.405992934,0.402937661,0.399719758,0.396208662,0.392709996,0.389154362,0.385613718,0.381996038,0.37836156,0.374697539
AGO_PK_FO..PC,Angola,Ovine,Per-capita food consumption [kg/p/d],7,AGO,16,PK,211,FO..PC,5.071541298,5.491352457,5.8943154,5.946971077,6.316158993,5.803103499,5.769187743,5.884960731,5.722336803,5.533401116,5.617936409,5.648229488,5.669884936,5.695324326,5.718279953,5.744258361,5.770475694,5.797422517,5.818311264,5.850216614,5.874172151
AGO_PS_FO..PC,Angola,Pork,Per-capita food consumption [kg/p/d],7,AGO,6,PS,211,FO..PC,9.721361673,9.903978475,9.992261729,10.07634649,10.74671792,10.63028226,10.61801567,10.48959222,10.38361689,10.28372041,10.29188302,10.27823148,10.24562077,10.21600757,10.16872091,10.12184141,10.07394772,10.02138065,9.967948589,9.911098996,9.852733353
AGO_PT_FO..PC,Angola,Poultry,Per-capita food consumption [kg/p/d],7,AGO,17,PT,211,FO..PC,8.653641503,10.42983387,10.81669069,10.47190013,11.10495396,10.13783119,9.694268864,10.2607437,10.34192776,10.13565115,10.25741436,10.35341174,10.43158871,10.49590516,10.5506311,10.59384279,10.62301251,10.6436823,10.65507632,10.66153837,10.65294596
