"nutrient","country","iso3","sex_id","age_id","cause","sev_base","sev_high","sev_delta"
"Red meat","Afghanistan","AFG",1,10,429,21.5815952330982,21.5873441649965,0.00574893189830661
"Red meat","Afghanistan","AFG",1,10,441,17.3991257313187,17.4038294891881,0.00470375786946065
"Red meat","Afghanistan","AFG",1,10,493,16.3002147407872,16.3046356609926,0.00442092020536222
"Red meat","Afghanistan","AFG",1,10,495,21.2039155033289,21.2095366534853,0.00562115015632614
"Red meat","Afghanistan","AFG",1,10,496,0,0,0
"Red meat","Afghanistan","AFG",1,10,497,25.6461044054174,25.6528385869884,0.00673418157098382
"Red meat","Afghanistan","AFG",1,10,976,22.7479539889422,22.7539768691213,0.00602288017903518
"Red meat","Afghanistan","AFG",1,11,429,21.5393432038797,21.5450533287571,0.00571012487737832
"Red meat","Afghanistan","AFG",1,11,441,17.3652000296175,17.3698710195557,0.00467098993812698
"Red meat","Afghanistan","AFG",1,11,493,16.2685914260594,16.2729820182326,0.0043905921731664
"Red meat","Afghanistan","AFG",1,11,495,21.162485190553,21.1680728272683,0.0055876367153509
"Red meat","Afghanistan","AFG",1,11,496,0,0,0
"Red meat","Afghanistan","AFG",1,11,497,25.5955211747224,25.6022179579018,0.00669678317941091
"Red meat","Afghanistan","AFG",1,11,976,22.7032375061397,22.7092196336144,0.00598212747461346
"Red meat","Afghanistan","AFG",1,12,429,21.2812373387325,21.2867980094875,0.00556067075496713
"Red meat","Afghanistan","AFG",1,12,441,17.1287450768351,17.1332758643464,0.00453078751126057
"Red meat","Afghanistan","AFG",1,12,493,16.0399883853795,16.0442439658797,0.00425558050013919
"Red meat","Afghanistan","AFG",1,12,495,20.9030826980622,20.9085133508356,0.00543065277345178
"Red meat","Afghanistan","AFG",1,12,496,0,0,0
"Red meat","Afghanistan","AFG",1,12,497,25.3049504247602,25.3114634518661,0.00651302710591395
"Red meat","Afghanistan","AFG",1,12,976,22.4325503996175,22.4383698055478,0.0058194059303105
"Red meat","Afghanistan","AFG",1,13,429,21.0280277175865,21.0334456093151,0.00541789172858742
"Red meat","Afghanistan","AFG",1,13,441,16.8899628256107,16.894370121621,0.00440729601028167
"Red meat","Afghanistan","AFG",1,13,493,15.9688018154834,15.9729795132549,0.0041776977715049
"Red meat","Afghanistan","AFG",1,13,495,21.3092168283099,21.3146621223962,0.00544529408623973
"Red meat","Afghanistan","AFG",1,13,496,0,0,0
"Red meat","Afghanistan","AFG",1,13,497,25.4640958421944,25.470563859356,0.00646801716158762
"Red meat","Afghanistan","AFG",1,13,976,22.1675714962713,22.1732494774319,0.00567798116055229
"Red meat","Afghanistan","AFG",1,14,429,20.6684922349545,20.6737600770623,0.00526784210785891
"Red meat","Afghanistan","AFG",1,14,441,16.5324440747615,16.53670663419,0.00426255942855391
"Red meat","Afghanistan","AFG",1,14,493,15.4198838315845,15.4238734602014,0.00398962861690677
"Red meat","Afghanistan","AFG",1,14,495,21.2798343529011,21.2852233384414,0.00538898554036038
"Red meat","Afghanistan","AFG",1,14,496,0,0,0
"Red meat","Afghanistan","AFG",1,14,497,25.2557491740445,25.2620996643595,0.00635049031493296
"Red meat","Afghanistan","AFG",1,14,976,21.7930585702282,21.7985783787378,0.00551980850960732
"Red meat","Afghanistan","AFG",1,15,429,20.2217683696839,20.226834108402,0.00506573871805571
"Red meat","Afghanistan","AFG",1,15,441,16.0972476958934,16.1013216294283,0.00407393353496488
"Red meat","Afghanistan","AFG",1,15,493,15.3435628313928,15.3474583263613,0.00389549496848751
"Red meat","Afghanistan","AFG",1,15,495,21.127694948968,21.1329476136036,0.00525266463558438
"Red meat","Afghanistan","AFG",1,15,496,0,0,0
"Red meat","Afghanistan","AFG",1,15,497,24.6168038925068,24.6228897544837,0.00608586197692063
"Red meat","Afghanistan","AFG",1,15,976,21.3266467480584,21.3319551185802,0.00530837052175315
"Red meat","Afghanistan","AFG",1,16,429,19.6974342541949,19.7022789874241,0.00484473322925894
"Red meat","Afghanistan","AFG",1,16,441,15.5842948758925,15.5881606908121,0.0038658149196209
"Red meat","Afghanistan","AFG",1,16,493,14.9558957465203,14.9596124477352,0.0037167012149002
"Red meat","Afghanistan","AFG",1,16,495,20.6659987760314,20.6710450846056,0.00504630857419741
"Red meat","Afghanistan","AFG",1,16,496,0,0,0
"Red meat","Afghanistan","AFG",1,16,497,24.4455744620031,24.4515101525029,0.00593569049985376
"Red meat","Afghanistan","AFG",1,16,976,20.7789723570252,20.7840508904986,0.00507853347342646
"Red meat","Afghanistan","AFG",1,17,429,19.1659742685703,19.1705777213822,0.0046034528118355
"Red meat","Afghanistan","AFG",1,17,441,15.0841608473277,15.087807858886,0.00364701155826452
"Red meat","Afghanistan","AFG",1,17,493,14.620804925694,14.6243114295261,0.00350650383204787
"Red meat","Afghanistan","AFG",1,17,495,20.1389841702534,20.1437888872317,0.00480471697833096
"Red meat","Afghanistan","AFG",1,17,496,0,0,0
"Red meat","Afghanistan","AFG",1,17,497,23.7212337554914,23.7268698814985,0.00563612600709718
"Red meat","Afghanistan","AFG",1,17,976,20.2223523599265,20.2271792838719,0.00482692394540152
"Red meat","Afghanistan","AFG",1,18,429,18.6165962930253,18.6210489949445,0.00445270191917757
"Red meat","Afghanistan","AFG",1,18,441,14.5121594613866,14.5156554358352,0.00349597444861516
"Red meat","Afghanistan","AFG",1,18,493,13.9074220808198,13.9107804772788,0.00335839645904912
"Red meat","Afghanistan","AFG",1,18,495,19.7832580939577,19.7879623264318,0.00470423247405094
"Red meat","Afghanistan","AFG",1,18,496,0.288510797964871,0.305120943060069,0.0166101450951981
"Red meat","Afghanistan","AFG",1,18,497,23.0962356278634,23.1017035540526,0.00546792618912306
"Red meat","Afghanistan","AFG",1,18,976,19.6493303599806,19.6540015581822,0.00467119820157791
"Red meat","Afghanistan","AFG",1,19,429,17.9569469067089,17.9611704918032,0.00422358509433352
"Red meat","Afghanistan","AFG",1,19,441,13.8419352398246,13.8449993775437,0.00306413771911096
"Red meat","Afghanistan","AFG",1,19,493,13.3656684790387,13.3688648576062,0.00319637856753019
"Red meat","Afghanistan","AFG",1,19,495,19.4260560995365,19.430615123863,0.00455902432650035
"Red meat","Afghanistan","AFG",1,19,496,0.640035088567137,0.655819947322223,0.0157848587550857
"Red meat","Afghanistan","AFG",1,19,497,22.1658968930852,22.171105144725,0.00520825163974337
"Red meat","Afghanistan","AFG",1,19,976,18.9581394487459,18.962610276042,0.00447082729611381
"Red meat","Afghanistan","AFG",1,20,429,17.3431287427228,17.3472216337587,0.0040928910358673
"Red meat","Afghanistan","AFG",1,20,441,13.2190890300723,13.2222283021982,0.00313927212587117
"Red meat","Afghanistan","AFG",1,20,493,13.1808856657249,13.1840239930126,0.00313832728767416
"Red meat","Afghanistan","AFG",1,20,495,17.9670181763322,17.9712469806705,0.00422880433822925
"Red meat","Afghanistan","AFG",1,20,496,1.31989589370212,1.33497842567123,0.0150825319691088
"Red meat","Afghanistan","AFG",1,20,497,21.6295999396043,21.6346641774609,0.00506423785664722
"Red meat","Afghanistan","AFG",1,20,976,18.3150843317895,18.3193817463606,0.00429741457110921
"Red meat","Afghanistan","AFG",1,30,429,16.9117759187771,16.9158175002819,0.00404158150480072
"Red meat","Afghanistan","AFG",1,30,441,12.7543784887496,12.7574453630194,0.00306687426984809
"Red meat","Afghanistan","AFG",1,30,493,12.7089010259326,12.7119641687715,0.00306314283884923
"Red meat","Afghanistan","AFG",1,30,495,17.5105805980115,17.5147553933229,0.0041747953113962
"Red meat","Afghanistan","AFG",1,30,496,1.80633872341378,1.8210259698203,0.014687246406526
"Red meat","Afghanistan","AFG",1,30,497,21.1708227192091,21.1758427338007,0.00502001459159729
"Red meat","Afghanistan","AFG",1,30,976,17.8627515001832,17.8669945302973,0.00424303011408966
"Red meat","Afghanistan","AFG",1,31,429,16.5851151665643,16.5890498782175,0.00393471165316583
"Red meat","Afghanistan","AFG",1,31,441,12.4410642678372,12.4440212109429,0.00295694310567818
"Red meat","Afghanistan","AFG",1,31,493,12.3911156168424,12.3940244489784,0.00290883213600956
"Red meat","Afghanistan","AFG",1,31,495,17.1660288772062,17.1700729806072,0.00404410340104633
"Red meat","Afghanistan","AFG",1,31,496,1.92578403558587,1.94009535520767,0.0143113196217921
"Red meat","Afghanistan","AFG",1,31,497,20.7980286652349,20.8029151932103,0.00488652797532652
"Red meat","Afghanistan","AFG",1,31,976,17.5186133566615,17.5227376257704,0.0041242691088641
"Red meat","Afghanistan","AFG",1,32,429,17.1844211260978,17.1884571389413,0.00403601284348554
"Red meat","Afghanistan","AFG",1,32,441,13.0708080932786,13.0738939263626,0.00308583308404131
"Red meat","Afghanistan","AFG",1,32,493,13.0309276334586,13.0340117085837,0.00308407512501851
"Red meat","Afghanistan","AFG",1,32,495,17.8004279050505,17.804596791082,0.00416888603152543
"Red meat","Afghanistan","AFG",1,32,496,1.35125052746912,1.36612673437361,0.0148762069044939
"Red meat","Afghanistan","AFG",1,32,497,21.4471438661598,21.452141404481,0.0049975383212093
"Red meat","Afghanistan","AFG",1,32,976,18.1482876178947,18.1525236648628,0.00423604696809576
"Red meat","Afghanistan","AFG",1,33,429,17.1844211260978,17.1884571389413,0.00403601284348554
"Red meat","Afghanistan","AFG",1,33,441,13.0708080932786,13.0738939263626,0.00308583308404131
"Red meat","Afghanistan","AFG",1,33,493,13.0309276334586,13.0340117085837,0.00308407512501851
"Red meat","Afghanistan","AFG",1,33,495,17.8004279050505,17.804596791082,0.00416888603152543
"Red meat","Afghanistan","AFG",1,33,496,1.35125052746912,1.36612673437361,0.0148762069044939
