"nutrient","prevented","new","net_change"
"Calcium",-49.6842576804121,0.340825689939474,-49.3434319904726
"Iron",-8.13983249406783,0.0417050042675062,-8.09812748980032
"Omega-3 fatty acids",-76.8107389358458,0,-76.8107389358458
"Vitamin A, RAE",-0.548428382706439,10.6960475341827,10.1476191514763
"Vitamin B-12",-36.0005181369139,0.00908340360719508,-35.9914347333067
"Zinc",-5.62329637064944,0.155868947647103,-5.46742742300234
