"iso3","country","nutrient","sev_base","sev_high","sev_delta"
"BEN","Benin","DHA+EPA fatty acids",29.5487980390939,27.2674472257433,-2.28135081335059
"BEN","Benin","Iron",56.2879100957199,55.7162707928279,-0.571639302891924
"BEN","Benin","Vitamin A",13.7734789354256,13.6486591065225,-0.124819828903082
"BEN","Benin","Vitamin B-12",31.5883717738333,29.9355215938688,-1.65285017996452
"BEN","Benin","Zinc",64.7320171874444,64.3712794841317,-0.360737703312653
"BFA","Burkina Faso","Calcium",99.6046795414735,99.5972906269091,-0.00738891456441344
"BFA","Burkina Faso","DHA+EPA fatty acids",64.682030911662,63.1784910895246,-1.50353982213745
"BFA","Burkina Faso","Iron",16.6976804024564,16.6415888475293,-0.0560915549271637
"BFA","Burkina Faso","Vitamin A",84.1679186022327,84.1539650547694,-0.0139535474633165
"BFA","Burkina Faso","Vitamin B-12",33.7236192208239,32.6861100196755,-1.03750920114836
"BFA","Burkina Faso","Zinc",22.0022323270369,21.7737162181048,-0.228516108932134
"BGD","Bangladesh","Calcium",91.8976497041881,91.2493584914636,-0.648291212724479
"BGD","Bangladesh","DHA+EPA fatty acids",1.75808305106312,1.50009666252722,-0.257986388535901
"BGD","Bangladesh","Iron",33.7822126128017,33.2429927949584,-0.53921981784335
"BGD","Bangladesh","Vitamin A",82.7139054376374,82.6809420515732,-0.032963386064252
"BGD","Bangladesh","Vitamin B-12",27.5419336150156,24.1869511357352,-3.35498247928046
"BGD","Bangladesh","Zinc",8.96519459768986,8.58130391428315,-0.383890683406701
"BGR","Bulgaria","Calcium",52.6388623179793,52.2796794143146,-0.359182903664725
"BGR","Bulgaria","DHA+EPA fatty acids",4.05978106133055,3.00468688581925,-1.05509417551129
"BGR","Bulgaria","Iron",2.63077389817336,2.57271054215965,-0.0580633560137173
"BGR","Bulgaria","Vitamin A",31.2833252515877,31.2986338568516,0.0153086052639395
"BGR","Bulgaria","Vitamin B-12",0.0937644854584949,0.073823058825901,-0.019941426632594
"BGR","Bulgaria","Zinc",0.00726797342975146,0.00682336497042893,-0.000444608459322551
"BHR","Bahrain","Calcium",96.5930640401927,96.561999974433,-0.0310640657597641
"BHR","Bahrain","DHA+EPA fatty acids",22.2746680035659,19.635664456058,-2.63900354750791
"BHR","Bahrain","Iron",95.4205585790016,95.3736506871017,-0.0469078918998502
"BHR","Bahrain","Vitamin A",92.7217161050879,92.7189363899996,-0.00277971508831989
"BHR","Bahrain","Vitamin B-12",65.0608845798266,63.7946954589065,-1.26618912092011
"BHR","Bahrain","Zinc",93.6085022594248,93.5200811410738,-0.0884211183510089
"BHS","Bahamas","Calcium",84.1659660676474,83.6805939648265,-0.485372102820908
"BHS","Bahamas","DHA+EPA fatty acids",9.47754999746093,5.87061024657444,-3.6069397508865
"BHS","Bahamas","Iron",15.705519137671,14.9727770432141,-0.732742094456915
"BHS","Bahamas","Vitamin A",37.0949901066239,37.466621735814,0.37163162919015
"BHS","Bahamas","Vitamin B-12",0.00680159713564172,0.00323931534876507,-0.00356228178687664
"BHS","Bahamas","Zinc",5.99358764465138,5.42491593126083,-0.568671713390554
"BIH","Bosnia & Herzegovina","Calcium",39.6856611761105,39.6832494581615,-0.00241171794901259
"BIH","Bosnia & Herzegovina","DHA+EPA fatty acids",81.5005084667893,79.9283019774246,-1.57220648936471
"BIH","Bosnia & Herzegovina","Iron",0.523838147335734,0.519027955672513,-0.00481019166321996
"BIH","Bosnia & Herzegovina","Vitamin A",0.0773367228070318,0.0798062696643706,0.00246954685733863
"BIH","Bosnia & Herzegovina","Vitamin B-12",0.0766653284777343,0.0720252236744699,-0.0046401048032643
"BIH","Bosnia & Herzegovina","Zinc",0.000443714045197008,0.000433131611544849,-1.05824336521591e-05
"BLR","Belarus","Calcium",70.6122798383633,70.4519175917553,-0.160362246607983
"BLR","Belarus","DHA+EPA fatty acids",25.4452402048247,19.6812621493201,-5.76397805550459
"BLR","Belarus","Iron",2.80137676890709,2.74204565699394,-0.0593311119131552
"BLR","Belarus","Vitamin A",0.000324966126901203,0.00039307129307972,6.81051661785167e-05
"BLR","Belarus","Vitamin B-12",0,0,0
"BLR","Belarus","Zinc",0.0137192912711787,0.0132869904282952,-0.000432300842883454
"BLZ","Belize","Calcium",86.0137411794822,85.760381896609,-0.253359282873121
"BLZ","Belize","DHA+EPA fatty acids",5.77510299899328,4.08354033927973,-1.69156265971354
"BLZ","Belize","Iron",7.57447182939175,7.32316576451035,-0.251306064881403
"BLZ","Belize","Vitamin A",69.6081089876023,69.7180351350937,0.109926147491451
"BLZ","Belize","Vitamin B-12",4.01081072769653,2.98210448623998,-1.02870624145655
"BLZ","Belize","Zinc",17.6715455683042,17.0812266930356,-0.590318875268605
"BOL","Bolivia","Calcium",99.5572977468431,99.5559954962487,-0.00130225059443028
"BOL","Bolivia","DHA+EPA fatty acids",81.5701325516409,80.2904567691501,-1.27967578249086
"BOL","Bolivia","Iron",8.88017185493111,8.89138743527471,0.0112155803435984
"BOL","Bolivia","Vitamin A",77.4158734578711,77.7667322727995,0.350858814928399
"BOL","Bolivia","Vitamin B-12",12.0475256767764,12.1292068370491,0.0816811602726544
"BOL","Bolivia","Zinc",0.413253293395428,0.423843296594448,0.0105900031990207
"BRA","Brazil","Calcium",72.5469017388868,72.253846596836,-0.293055142050829
"BRA","Brazil","DHA+EPA fatty acids",57.8388404538818,57.0705927926245,-0.768247661257329
"BRA","Brazil","Iron",8.39943902805327,8.36679208524311,-0.0326469428101705
"BRA","Brazil","Vitamin A",3.3721063421533,3.39241094243124,0.0203046002779396
"BRA","Brazil","Vitamin B-12",0,0,0
"BRA","Brazil","Zinc",3.15372449905059e-06,2.9286755281005e-06,-2.25048970950086e-07
"BRB","Barbados","Calcium",71.1526174829606,69.9437086721895,-1.2089088107711
"BRB","Barbados","DHA+EPA fatty acids",0.351955443402717,0.0268919382798839,-0.325063505122834
"BRB","Barbados","Iron",1.66943916689456,1.52730697251149,-0.142132194383071
