"iso3","country","food","base","high","diff","pdiff"
"ALB","Albania","Beef and veal",29.9863935616438,29.8983563287671,-0.0880372328767097,-0.29359060033588
"ALB","Albania","Butter",4.58517869315068,4.58633002191781,0.00115132876712326,0.0251097905702805
"ALB","Albania","Eggs",53.5247977534247,53.3020004109589,-0.222797342465758,-0.416250694663302
"ALB","Albania","Fish",29.8625547123288,33.7787639452055,3.91620923287671,13.1141132116868
"ALB","Albania","Maize",21.1508012438356,21.1437766410959,-0.00702460273972517,-0.0332119935256471
"ALB","Albania","Milk",111.188083780822,110.989124273973,-0.198959506849308,-0.178939595039253
"ALB","Albania","Other coarse grains",0.00052698904109589,0.000526846575342466,-1.42465753424673e-07,-0.0270339119630288
"ALB","Albania","Other oilseeds",0.322325882191781,0.322363846575342,3.79643835616223e-05,0.011778260964794
"ALB","Albania","Pork",18.9620282876712,18.8420144356164,-0.120013852054795,-0.632916744106038
"ALB","Albania","Poultry",49.0219711506849,48.798645260274,-0.223325890410953,-0.45556285308171
"ALB","Albania","Pulses",23.8027922739726,23.7913204246575,-0.0114718493150658,-0.0481953931413745
"ALB","Albania","Rice",24.6350030191781,24.6275267041096,-0.00747631506849065,-0.0303483424080379
"ALB","Albania","Roots tubers",33.2035935616438,33.2062425205479,0.00264895890410733,0.00797792835040409
"ALB","Albania","Sheep",22.639174369863,22.5701345972603,-0.0690397726027419,-0.304957113165075
"ALB","Albania","Sugar",81.9687155342466,81.9373329863014,-0.0313825479452037,-0.0382860067291064
"ALB","Albania","Vegetable oils",15.8962904630137,15.866686969863,-0.0296034931506851,-0.186228939509908
"ALB","Albania","Wheat",470.832608493151,470.718966027397,-0.113642465753447,-0.0241364900611171
"DZA","Algeria","Beef and veal",9.28043515616438,9.10367022191781,-0.176764934246575,-1.90470523496047
"DZA","Algeria","Butter",0.891129887671233,0.890186235616438,-0.000943652054794458,-0.105893884589651
"DZA","Algeria","Eggs",24.9350711753425,24.5079664575342,-0.427104717808218,-1.7128674500459
"DZA","Algeria","Fish",11.0611474,13.3828496739726,2.3217022739726,20.9897055885233
"DZA","Algeria","Maize",8.18559022465753,8.17338760821918,-0.0122026164383556,-0.149074362427739
"DZA","Algeria","Milk",52.6196750958904,52.2360712054794,-0.383603890410962,-0.729012274803881
"DZA","Algeria","Other coarse grains",28.4165058356164,28.3801856986301,-0.0363201369862998,-0.127813522170545
"DZA","Algeria","Other oilseeds",0.857313164383562,0.857313164383562,0,0
"DZA","Algeria","Pork",0.00792657260273973,0.00792657260273973,0,0
"DZA","Algeria","Poultry",16.7384721671233,16.3674006273973,-0.371071539726026,-2.21687819545958
"DZA","Algeria","Pulses",27.5500984931507,27.4501050136986,-0.099993479452056,-0.362951440906521
"DZA","Algeria","Rice",9.35290416712329,9.33882100273973,-0.0140831643835616,-0.150575309357556
"DZA","Algeria","Roots tubers",42.4774820821918,42.4313314520548,-0.0461506301369818,-0.108647282924357
"DZA","Algeria","Sheep",16.9158201342466,16.5849345534247,-0.330885580821917,-1.95607176120317
"DZA","Algeria","Sugar",113.772754219178,113.422362493151,-0.350391726027393,-0.307975075783416
"DZA","Algeria","Vegetable oils",61.2232818630137,60.9488918082192,-0.27439005479452,-0.448179265215584
"DZA","Algeria","Wheat",561.987780821918,561.242123287671,-0.745657534246578,-0.132682161372982
"AGO","Angola","Beef and veal",11.1652560547945,11.2150872054795,0.0498311506849311,0.446305489461058
"AGO","Angola","Butter",0.487247257534247,0.487782002739726,0.00053474520547942,0.109748222737166
"AGO","Angola","Eggs",0.266529734246575,0.266809391780822,0.000279657534246557,0.104925454203859
"AGO","Angola","Fish",39.0241607945205,40.8906583013699,1.86649750684931,4.78292798319802
"AGO","Angola","Maize",112.211719506849,112.234415643836,0.0226961369863113,0.0202261734211514
"AGO","Angola","Milk",3.5337498739726,3.53411916164384,0.000369287671232713,0.0104503058904269
"AGO","Angola","Other coarse grains",5.41620008219178,5.41978706849315,0.00358698630136997,0.0662269902687646
"AGO","Angola","Other oilseeds",1.02421043561644,1.02420395890411,-6.47671232870395e-06,-0.000632361485831359
"AGO","Angola","Pork",14.925103139726,14.9944234027397,0.0693202630136968,0.464454163999628
"AGO","Angola","Poultry",26.4137339561644,26.5455336082192,0.131799652054795,0.498981523299683
"AGO","Angola","Pulses",26.5889669452055,26.6303604684931,0.0413935232876685,0.155679321325166
"AGO","Angola","Rice",50.9412972328767,50.9609379178082,0.019640684931505,0.0385555256704952
"AGO","Angola","Roots tubers",165.852227506849,165.956442328767,0.104214821917804,0.0628359494981764
"AGO","Angola","Sheep",1.91019504931507,1.91467917260274,0.00448412328767128,0.23474688039209
"AGO","Angola","Sugar",34.8897377260274,34.9356356712329,0.04589794520548,0.1315514194056
"AGO","Angola","Vegetable oils",15.0864707561644,15.0644696054795,-0.0220011506849336,-0.145833648177416
"AGO","Angola","Wheat",59.1558460821918,59.1978869315068,0.0420408493150674,0.071067953717804
"ATG","Antigua & Barbuda","Beef and veal",38.7607102739726,38.5221981369863,-0.238512136986304,-0.615345114422381
"ATG","Antigua & Barbuda","Butter",4.85250164109589,4.8534598,0.000958158904109571,0.019745668831823
"ATG","Antigua & Barbuda","Eggs",7.95629630136986,7.91700151232877,-0.0392947890410954,-0.493882926837829
"ATG","Antigua & Barbuda","Fish",204.092964328767,219.886021369863,15.7930570410959,7.73816828671043
"ATG","Antigua & Barbuda","Maize",0.00237667671232877,0.00237576438356164,-9.12328767123394e-07,-0.0383867423949914
