"iso3","country","nutrient_label","base","high","diff","pdiff"
"AGO","Angola","Calcium (mg/p/d)",297.833296209864,300.537955669441,2.70465945957659,0.908111851158101
"AGO","Angola","DHA+EPA fatty acids (g/p/d)",0.317969835421167,0.33221758867761,0.014247753256443,4.48085059312972
"AGO","Angola","Iron (mg/p/d)",13.7120768437706,13.775440905501,0.0633640617303897,0.462104044867398
"AGO","Angola","Protein (g/p/d)",48.6948196322146,49.0705193154253,0.375699683210669,0.771539326047983
"AGO","Angola","Vitamin A, RAE (mg/p/d retinol)",786.549880639425,787.486488298274,0.936607658849198,0.119077973553029
"AGO","Angola","Vitamin B12 (ug/p/d)",3.73489434456408,3.78603102430404,0.0511366797399599,1.36916000888717
"AGO","Angola","Zinc (mg/p/d)",7.62460595466513,7.65601874119203,0.0314127865268974,0.411992261812263
"ALB","Albania","Calcium (mg/p/d)",2012.51049051032,2013.38930473146,0.878814221140601,0.0436675597610304
"ALB","Albania","DHA+EPA fatty acids (g/p/d)",0.244200747131216,0.272904440978905,0.028703693847689,11.7541384229532
"ALB","Albania","Iron (mg/p/d)",28.1847058002558,28.2458774031706,0.0611716029147544,0.217038287886614
"ALB","Albania","Protein (g/p/d)",128.927486863911,129.413878504302,0.486391640390593,0.377259847548259
"ALB","Albania","Vitamin A, RAE (mg/p/d retinol)",1530.51892269216,1528.39045329989,-2.12846939227461,-0.139068479371079
"ALB","Albania","Vitamin B12 (ug/p/d)",11.5761340838938,11.6649411777333,0.0888070938394776,0.767156748495488
"ALB","Albania","Zinc (mg/p/d)",15.2269329162897,15.2568185438583,0.0298856275685129,0.196268202748442
"ARE","United Arab Emirates","Calcium (mg/p/d)",968.347076244147,976.507850826749,8.16077458260202,0.842753056502694
"ARE","United Arab Emirates","DHA+EPA fatty acids (g/p/d)",0.812812820343467,0.853866998194659,0.041054177851192,5.05087725287649
"ARE","United Arab Emirates","Iron (mg/p/d)",27.987943296664,28.0607332605075,0.0727899638434302,0.260076144473632
"ARE","United Arab Emirates","Protein (g/p/d)",121.763222814587,122.55945799311,0.796235178522707,0.65392091316042
"ARE","United Arab Emirates","Vitamin A, RAE (mg/p/d retinol)",1013.64112947415,1012.53355581351,-1.10757366064308,-0.109266842912901
"ARE","United Arab Emirates","Vitamin B12 (ug/p/d)",7.84053885079616,7.96450664855781,0.12396779776165,1.58111323878029
"ARE","United Arab Emirates","Zinc (mg/p/d)",13.9913117505103,14.0272730830181,0.0359613325078421,0.257026168447218
"ARG","Argentina","Calcium (mg/p/d)",580.45342356624,581.549393358724,1.09596979248442,0.188812701930658
"ARG","Argentina","DHA+EPA fatty acids (g/p/d)",0.0804471869245639,0.08656184538087,0.0061146584563061,7.60083564144993
"ARG","Argentina","Iron (mg/p/d)",21.5178371189024,21.5629227037562,0.0450855848537621,0.209526564424807
"ARG","Argentina","Protein (g/p/d)",99.716278370272,99.8429698413627,0.126691471090737,0.127051944939521
"ARG","Argentina","Vitamin A, RAE (mg/p/d retinol)",1381.00964392572,1380.31935581295,-0.690288112770531,-0.0499843079160755
"ARG","Argentina","Vitamin B12 (ug/p/d)",14.4785299436743,14.5013374936741,0.0228075499997225,0.15752669703658
"ARG","Argentina","Zinc (mg/p/d)",12.7512172007068,12.7552763371248,0.00405913641794164,0.0318333250390922
"ARM","Armenia","Calcium (mg/p/d)",1182.02762212184,1178.4762389066,-3.55138321523759,-0.30044841159148
"ARM","Armenia","DHA+EPA fatty acids (g/p/d)",0.203503529155291,0.21332656522097,0.009823036065679,4.82696103917842
"ARM","Armenia","Iron (mg/p/d)",25.2267551797648,25.1908420839007,-0.0359130958640499,-0.142361138434708
"ARM","Armenia","Protein (g/p/d)",105.946302730792,105.60872107909,-0.337581651702536,-0.318634669640455
"ARM","Armenia","Vitamin A, RAE (mg/p/d retinol)",1584.48538529559,1578.46127599091,-6.02410930468818,-0.380193428137196
"ARM","Armenia","Vitamin B12 (ug/p/d)",13.7325088119645,13.716777083877,-0.0157317280874487,-0.114558295959311
"ARM","Armenia","Zinc (mg/p/d)",13.1603866783966,13.1078951952487,-0.0524914831479375,-0.398859732853478
"ATG","Antigua & Barbuda","Calcium (mg/p/d)",937.898623708802,963.092221849601,25.1935981407991,2.6861749771179
"ATG","Antigua & Barbuda","DHA+EPA fatty acids (g/p/d)",1.06603918650213,1.16551945729521,0.09948027079308,9.33176491564939
"ATG","Antigua & Barbuda","Iron (mg/p/d)",21.1581483582482,21.5455240910547,0.387375732806571,1.83085838253686
"ATG","Antigua & Barbuda","Protein (g/p/d)",102.352700019643,104.899462218409,2.5467621987659,2.48822180389686
"ATG","Antigua & Barbuda","Vitamin A, RAE (mg/p/d retinol)",959.715936343543,957.330678449918,-2.38525789362495,-0.248537906196769
"ATG","Antigua & Barbuda","Vitamin B12 (ug/p/d)",10.523009851797,10.8244665264852,0.301456674688158,2.86473812087782
"ATG","Antigua & Barbuda","Zinc (mg/p/d)",11.4555077367599,11.6930310226632,0.237523285903269,2.07344180075994
"AUS","Australia","Calcium (mg/p/d)",958.723276595196,962.475458494556,3.75218189935993,0.391372775748744
"AUS","Australia","DHA+EPA fatty acids (g/p/d)",0.713496430305213,0.761074277472103,0.04757784716689,6.66826702223829
"AUS","Australia","Iron (mg/p/d)",22.1852278521275,22.2139035975347,0.0286757454072593,0.129256032880949
"AUS","Australia","Protein (g/p/d)",116.298530604612,116.584703397447,0.286172792835004,0.246067419207491
"AUS","Australia","Vitamin A, RAE (mg/p/d retinol)",1602.5086640306,1599.41155015481,-3.09711387579068,-0.193266591645182
